"","cas","mw"
"1","25474-41-3",NA
"2","19902-04-6",333.5562
"3","12642-13-6",NA
"4","17109-36-3",397.2572
"5","42615-29-2",348.4751
"6","8027-85-8",370.9562
"7","76930-58-0",264.1901
"8","55406-53-6",281.0928
"9","68951-67-7",NA
"10","608-73-1",290.8314
"11","96638-72-1",NA
"12","64618-68-4",NA
"13","81406-37-3",367.2469
"14","188023-86-1",NA
"15","8001-35-2",411.7972
"16","67375-30-8",416.303
"17","1344-67-8",98.999
"18","9002-92-0",230.3898
"19","37262-61-6",342.434
"20","10343-61-0",383.9728
"21","11096-82-5",360.8816
"22","60-57-1",380.9126
"23","39289-94-6",NA
"24","57213-69-1",357.6637
"25","63231-50-5",NA
"26","66330-88-9",228.1119
"27","12672-29-6",291.9914
"28","626201-67-0",NA
"29","57-74-9",409.7814
"30","9016-45-9",308.46
"31","60617-06-3",NA
"32","12680-48-7",161.9731
"33","141112-29-0",359.3193
"34","68333-79-9",NA
"35","25171-63-5",201.2428
"36","29450-45-1",312.8357
"37","1320-18-9",335.2266
"38","56996-80-6",NA
"39","72574-95-9",NA
"40","100473-08-3",NA
"41","6491-02-7",292.6781
"42","120068-37-3",437.1462
"43","8002-13-9",NA
"44","8003-34-7",NA
"45","57571-05-8",NA
"46","42087-80-9",215.5927
"47","4180-12-5",123.5984
"48","4404-43-7",916.982
"49","39403-84-4",NA
"50","39148-24-8",351.0819
"51","129630-19-9",413.1799
"52","1330-69-4",NA
"53","74665-86-4",NA
"54","11121-48-5",1049.8588
"55","8030-30-6",NA
"56","319-84-6",290.8314
"57","287967-89-9",NA
"58","66230-04-4",419.9067
"59","2896-70-0",170.2309
"60","95312-94-0",NA
"61","3084-62-6",369.6717
"62","84852-15-3",220.354
"63","25155-30-0",NA
"64","7782-86-7",280.6101
"65","156410-04-7",NA
"66","65996-94-3",78.972
"67","68424-85-1",368.0445
"68","8067-49-0",NA
"69","12772-06-4",NA
"70","9006-42-2",275.7248
"71","1420-06-0",329.4408
"72","39278-82-5",NA
"73","1120-01-0",328.4847
"74","61791-26-2",NA
"75","66594-31-8",NA
"76","37353-63-2",NA
"77","147150-35-4",429.8096
"78","56902-08-0",NA
"79","1330-20-7",106.167
"80","116580-64-4",NA
"81","14214-89-2",259.1297
"82","465-73-6",364.9132
"83","1191-50-0",316.4305
"84","177256-67-6",NA
"85","75139-62-7",NA
"86","63449-39-8",545.3296
"87","52769-87-6",NA
"88","1327-53-3",197.8414
"89","3861-41-4",347.0056
"90","858954-83-3",NA
"91","75139-61-6",NA
"92","11097-69-1",326.4365
"93","205650-65-3",NA
"94","8066-11-3",471.0655
"95","96300-97-9",694.6561
"96","37264-94-1",NA
"97","4136-91-8",352.6286
"98","11067-81-5",318.43
"99","2274-99-9",NA
"100","125401-92-5",NA
"101","26264-06-2",NA
"102","71706-07-5",NA
"103","8001-54-5",NA
"104","5829-48-1",353.3714
"105","158062-67-0",229.1611
"106","61790-13-4",192.2329
"107","8067-55-8",652.7825
"108","64700-56-7",356.6327
"109","1464-42-2",196.1074
"110","400852-66-6",NA
"111","8027-00-7",634.3852
"112","61711-25-9",NA
"113","50934-16-2",NA
"114","1330-43-4",327.3217
"115","1330-78-5",368.3683
"116","19398-13-1",369.6717
"117","12698-87-2",NA
"118","121552-61-2",225.2926
"119","39331-45-8",NA
"120","172521-76-5",NA
"121","39341-15-6",NA
"122","12797-87-4",NA
"123","62010-28-0",NA
"124","56996-90-8",NA
"125","34455-29-3",570.3653
"126","1334-77-6",NA
"127","181274-15-7",420.3717
"128","15067-52-4",NA
"129","361377-29-9",458.8326
"130","55600-34-5",223.1012
"131","32534-95-5",381.7259
"132","11104-28-2",NA
"133","53112-28-0",199.2548
"134","12002-48-1",181.4487
"135","4501-00-2",831.9303
"136","128606-48-4",268.2641
