"","cas","mw"
"1","10108-64-2",183.316
"2","88-30-2",207.1087
"3","1397-94-0",548.632
"4","25474-41-3",NA
"5","540-72-7",81.0675
"6","72-43-5",345.6523
"7","2921-88-2",350.5836
"8","19902-04-6",333.5562
"9","7757-82-6",142.0371
"10","7758-98-7",159.6036
"11","87-86-5",266.3383
"12","12642-13-6",NA
"13","1918-13-4",206.0892
"14","13746-66-2",329.2472
"15","1563-66-2",221.2554
"16","17109-36-3",397.2572
"17","93-15-2",178.2304
"18","63-25-2",201.2244
"19","42615-29-2",348.4751
"20","52-68-6",257.4376
"21","50-29-3",354.4901
"22","57-12-5",26.0177
"23","30560-19-1",183.1617
"24","504-24-5",94.1158
"25","72-20-8",380.9126
"26","79-57-2",540.4337
"27","8018-01-7",541.0076
"28","900-95-8",409.051
"29","90-15-3",144.1726
"30","7761-88-8",169.8729
"31","35367-38-5",310.6871
"32","8027-85-8",370.9562
"33","7783-06-4",34.0758
"34","76930-58-0",264.1901
"35","12789-03-6",409.7814
"36","13410-01-0",188.9371
"37","1918-00-9",221.0396
"38","22781-23-3",223.228
"39","540-88-5",116.1596
"40","88-85-7",240.2152
"41","3383-96-8",466.4579
"42","7778-50-9",294.1838
"43","121-82-4",222.117
"44","35400-43-2",322.4347
"45","77-75-8",98.1444
"46","10124-36-4",208.4676
"47","10043-52-4",110.986
"48","732-11-6",317.3139
"49","83-79-4",394.4232
"50","75-99-0",142.9694
"51","7440-50-8",63.546
"52","55406-53-6",281.0928
"53","68951-67-7",NA
"54","608-73-1",290.8314
"55","27344-41-8",562.5619
"56","121-75-5",330.3503
"57","10102-06-4",396.0534
"58","96638-72-1",NA
"59","148-79-8",201.2454
"60","64618-68-4",NA
"61","1897-45-6",265.9134
"62","81406-37-3",367.2469
"63","13171-21-6",299.6906
"64","7681-52-9",74.4422
"65","78-99-9",112.9864
"66","188023-86-1",NA
"67","1194-65-6",172.0134
"68","52315-07-8",416.303
"69","298-46-4",236.2726
"70","7447-39-4",134.452
"71","94-75-7",221.0396
"72","50-00-0",30.0262
"73","107-06-2",98.9596
"74","21609-90-5",412.0646
"75","100-70-9",104.111
"76","142-71-2",181.635
"77","7439-97-6",200.59
"78","84-65-1",208.216
"79","121-33-5",152.1494
"80","143-33-9",49.0075
"81","22936-75-0",255.3804
"82","10599-90-3",51.4755
"83","81-81-2",308.333
"84","8001-35-2",411.7972
"85","333-20-0",97.1757
"86","481-39-0",174.1556
"87","7487-94-7",271.496
"88","8005-78-5",461.396
"89","1982-47-4",290.7487
"90","111-27-3",102.176
"91","7733-02-0",161.4376
"92","7646-85-7",136.286
"93","40487-42-1",281.3108
"94","67375-30-8",416.303
"95","75-91-2",90.1218
"96","708-76-9",182.1756
"97","106-48-9",128.5579
"98","1420-04-8",388.2066
"99","2212-67-1",187.2994
"100","315-18-4",222.2864
"101","111-90-0",134.1748
"102","1344-67-8",98.999
"103","7773-06-0",114.119
"104","16752-77-5",162.2062
"105","51-28-5",184.108
"106","140-66-9",206.3272
"107","1929-73-3",321.1998
"108","9002-92-0",230.3898
"109","206-44-0",202.255
"110","67-66-3",119.3779
"111","78-48-8",314.4985
"112","299-84-3",321.5422
"113","37262-61-6",342.434
"114","7786-81-4",154.751
"115","7664-41-7",17.0304
"116","115-29-7",406.9226
"117","55-38-9",278.3205
"118","77-47-4",272.773
"119","5064-31-3",257.0858
"120","10099-74-8",331.2098
"121","12125-02-9",53.4913
"122","142-28-9",112.9864
"123","10343-61-0",383.9728
"124","11096-82-5",360.8816
"125","91-20-3",128.1732
"126","7440-43-9",112.41
"127","584-79-2",302.4126
"128","76-44-8",373.3205
"129","100-02-7",139.1104
"130","4214-79-3",129.5457
"131","2499-95-8",156.2242
"132","629-97-0",310.6054
"133","148-53-8",152.1494
"134","60-57-1",380.9126
"135","71-36-3",74.1224
"136","128-37-0",220.354
"137","42576-02-3",342.1348
"138","39289-94-6",NA
"139","2008-39-1",266.1236
"140","10453-86-8",338.4456
"141","1071-83-6",169.0737
"142","15299-99-7",271.3584
"143","126-33-0",120.166
"144","298-00-0",263.2045
"145","151-50-8",65.1157
"146","75-09-2",84.9328
"147","60-51-5",229.2485
"148","38641-94-0",228.1845
"149","93-72-1",269.5115
"150","57213-69-1",357.6637
"151","86-74-8",167.2098
"152","1582-09-8",335.2823
"153","1445-75-6",180.1833
"154","141-78-6",88.106
"155","63231-50-5",NA
"156","108-88-3",92.1402
"157","52645-53-1",391.2932
"158","66330-88-9",228.1119
"159","120-80-9",110.1122
"160","143-50-0",490.6394
"161","133-06-2",300.5867
"162","80-06-8",267.1542
"163","7647-14-5",58.4428
"164","122-14-5",277.2313
"165","12672-29-6",291.9914
"166","34128-01-3",258.0706
"167","112-56-1",203.2988
"168","7784-46-5",129.9102
"169","10042-84-9",213.1221
"170","3251-23-8",187.5558
"171","111-15-9",132.159
"172","54-64-8",404.8087
"173","127-65-1",227.6406
"174","626201-67-0",NA
"175","333-41-5",304.3433
"176","771-60-8",183.0805
"177","120-83-2",163.003
"178","87-68-3",260.762
"179","58-89-9",290.8314
"180","7446-18-6",504.7976
"181","2032-59-9",208.2596
"182","2540-82-1",257.2589
"183","1192-89-8",357.5995
"184","56-38-2",291.2581
"185","5137-55-3",404.1613
"186","56-23-5",153.823
"187","84-74-2",278.3474
"188","52918-63-5",505.205
"189","27554-26-3",390.5618
"190","542-75-6",110.9706
"191","28249-77-6",257.7775
"192","16090-02-1",924.9153
"193","57-74-9",409.7814
"194","104-40-5",220.354
"195","39515-41-8",349.4286
"196","134-20-3",151.1646
"197","98-01-1",96.0854
"198","13071-79-9",288.4175
"199","9016-45-9",308.46
"200","569-64-2",364.9169
"201","7789-00-6",194.1896
"202","126-72-7",697.6129
"203","111-42-2",105.1364
"204","90-12-0",142.2
"205","56-35-9",596.07
"206","60617-06-3",NA
"207","120-18-3",208.2314
"208","78-90-0",74.1254
"209","71-43-2",78.1134
"210","302-01-2",32.045
"211","65954-19-0",240.385
