,cas,MolWeight
0,10108-64-2,183.318
1,88-30-2,207.10677
2,1397-94-0,548.6252
3,25474-41-3,
4,540-72-7,81.072169
5,72-43-5,345.6481
6,2921-88-2,350.586302
7,19902-04-6,333.5562
8,7757-82-6,142.042139
9,7758-98-7,159.6086
10,87-86-5,266.33654
11,12642-13-6,
12,1918-13-4,206.0923
13,13746-66-2,329.2443
14,1563-66-2,221.2524
15,17109-36-3,397.2572
16,93-15-2,178.22766
17,63-25-2,201.22124
18,42615-29-2,348.4751
19,52-68-6,257.436682
20,50-29-3,354.48626
21,57-12-5,26.018
22,30560-19-1,183.165862
23,504-24-5,94.11454
24,72-20-8,380.90932
25,79-57-2,460.43396
26,8018-01-7,541.045725
27,900-95-8,409.06572
28,90-15-3,144.16992
29,7761-88-8,169.8731
30,35367-38-5,310.683266
31,8027-85-8,370.9562
32,7783-06-4,34.08088
33,76930-58-0,264.1901
34,12789-03-6,409.77864
35,13410-01-0,188.937139
36,1918-00-9,221.03744
37,22781-23-3,223.22522
38,540-88-5,116.15828
39,88-85-7,240.21268
40,3383-96-8,466.468924
41,7778-50-9,294.1846
42,121-82-4,222.11634
43,35400-43-2,322.446822
44,77-75-8,98.143
45,10124-36-4,208.4736
46,10043-52-4,110.984
47,732-11-6,317.321042
48,83-79-4,394.41718
49,75-99-0,142.96866
50,7440-50-8,63.546
51,55406-53-6,281.0928
52,68951-67-7,
53,608-73-1,290.8314
54,27344-41-8,562.564339
55,121-75-5,330.358022
56,10102-06-4,396.05339
57,96638-72-1,
58,148-79-8,201.24768
59,64618-68-4,
60,1897-45-6,265.911
61,81406-37-3,367.2469
62,13171-21-6,299.688322
63,7681-52-9,74.442
64,78-99-9,112.98574
65,188023-86-1,
66,1194-65-6,172.01142
67,52315-07-8,416.29716
68,298-46-4,236.26858
69,7447-39-4,134.452
70,94-75-7,221.03744
71,50-00-0,30.02598
72,107-06-2,98.95916
73,21609-90-5,412.066062
74,100-70-9,104.10936
75,142-71-2,181.63404
76,7439-97-6,200.59
77,84-65-1,208.21212
78,121-33-5,152.14732
79,143-33-9,49.007169
80,22936-75-0,255.38294
81,10599-90-3,51.47558
82,81-81-2,308.32794
83,8001-35-2,411.7972
84,333-20-0,97.1807
85,481-39-0,174.15284
86,7487-94-7,271.496
87,8005-78-5,461.39074
88,1982-47-4,290.7448
89,111-27-3,102.17476
90,7733-02-0,161.4426
91,7646-85-7,136.296
92,40487-42-1,281.30766
93,67375-30-8,416.30300000000005
94,75-91-2,90.121
95,708-76-9,182.1733
96,106-48-9,128.5563
97,1420-04-8,388.2027
98,2212-67-1,187.30238
99,315-18-4,222.28352
100,111-90-0,134.17356
101,1344-67-8,98.999
102,7773-06-0,114.12424
103,16752-77-5,162.2101
104,51-28-5,184.10636
105,140-66-9,206.32388
106,1929-73-3,321.19632
107,9002-92-0,230.3898
108,206-44-0,202.2506
109,67-66-3,119.37764
110,78-48-8,314.510942
111,299-84-3,321.545082
112,37262-61-6,342.434
113,7786-81-4,154.756
114,7664-41-7,17.03052
115,115-29-7,406.92514
116,55-38-9,278.328062
117,77-47-4,272.7715
118,5064-31-3,257.084248
119,10099-74-8,331.2098
120,12125-02-9,53.492
121,142-28-9,112.98574
122,10343-61-0,383.9728
123,11096-82-5,360.8816
124,91-20-3,128.17052
125,7440-43-9,112.411
126,584-79-2,302.40794
127,76-44-8,373.3177
128,100-02-7,139.1088
129,4214-79-3,129.54436
130,2499-95-8,156.22214
131,629-97-0,310.61
132,148-53-8,152.14732
133,60-57-1,380.9126
