"","cas","smiles"
"1","10108-64-2","[Cl-].[Cl-].[Cd++]"
"2","88-30-2","Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O"
"3","1397-94-0","CCCCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC1=O"
"4","25474-41-3",NA
"5","540-72-7","[Na+].[S-]C#N"
"6","72-43-5","COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl"
"7","2921-88-2","CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl"
"8","19902-04-6","CC(C)=CCC\C(C)=C\CN(CCO)C/C=C(C)/CCC=C(C)C"
"9","7757-82-6","[Na+].[Na+].[O-][S]([O-])(=O)=O"
"10","7758-98-7","[Cu++].[O-][S]([O-])(=O)=O"
"11","87-86-5","Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"
"12","12642-13-6",NA
"13","1918-13-4","NC(=S)c1c(Cl)cccc1Cl"
"14","13746-66-2","[K+].[K+].[K+].[Fe-3](|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)|[C]#N"
"15","1563-66-2","CNC(=O)Oc1cccc2CC(C)(C)Oc12"
"16","17109-36-3","Cc1c(Cl)cc(c(O)c1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O)C(C)(C)C"
"17","93-15-2","COc1ccc(CC=C)cc1OC"
"18","63-25-2","CNC(=O)Oc1cccc2ccccc12"
"19","42615-29-2","[Na+].CCCCCCCCCCC(C)c1ccc(cc1)[S]([O-])(=O)=O"
"20","52-68-6","CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl"
"21","50-29-3","Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl"
"22","57-12-5","[C-]#N"
"23","30560-19-1","CO[P](=O)(NC(C)=O)SC"
"24","504-24-5","Nc1ccncc1"
"25","72-20-8","ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl"
"26","79-57-2","O.O.[Na+].[Na+].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3[C-](C(=O)c4c([O-])cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O"
"27","8018-01-7","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S"
"28","900-95-8","CC([O]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3)=O"
"29","90-15-3","Oc1cccc2ccccc12"
"30","7761-88-8","[Ag+].[O-][N+]([O-])=O"
"31","35367-38-5","Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2"
"32","8027-85-8","O.O.O.O.[Na+].CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1.[O-]B=O"
"33","7783-06-4","S"
"34","76930-58-0","[NH4+].[NH4+].[NH4+].[NH4+].O[P]([O-])([O-])=O.[O-][S]([O-])(=O)=O"
"35","12789-03-6","ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl"
"36","13410-01-0","[Na+].[Na+].[O-][Se]([O-])(=O)=O"
"37","1918-00-9","COc1c(Cl)ccc(Cl)c1C(O)=O"
"38","22781-23-3","CNC(=O)Oc1cccc2OC(C)(C)Oc12"
"39","540-88-5","CC(=O)OC(C)(C)C"
"40","88-85-7","CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O"
"41","3383-96-8","CO[P](=S)(OC)Oc1ccc(Sc2ccc(O[P](=S)(OC)OC)cc2)cc1"
"42","7778-50-9","[K+].[K+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O"
"43","121-82-4","[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O"
"44","35400-43-2","CCCS[P](=S)(OCC)Oc1ccc(SC)cc1"
