,cas
0,10108-64-2
1,88-30-2
2,1397-94-0
3,25474-41-3
4,540-72-7
5,72-43-5
6,2921-88-2
7,19902-04-6
8,7757-82-6
9,7758-98-7
10,87-86-5
11,12642-13-6
12,1918-13-4
13,13746-66-2
14,1563-66-2
15,17109-36-3
16,93-15-2
17,63-25-2
18,42615-29-2
19,52-68-6
20,50-29-3
21,57-12-5
22,30560-19-1
23,504-24-5
24,72-20-8
25,79-57-2
26,8018-01-7
27,900-95-8
28,90-15-3
29,7761-88-8
30,35367-38-5
31,8027-85-8
32,7783-06-4
33,76930-58-0
34,12789-03-6
35,13410-01-0
36,1918-00-9
37,22781-23-3
38,540-88-5
39,88-85-7
40,3383-96-8
41,7778-50-9
42,121-82-4
43,35400-43-2
44,77-75-8
45,10124-36-4
46,10043-52-4
47,732-11-6
48,83-79-4
49,75-99-0
50,7440-50-8
51,55406-53-6
52,68951-67-7
53,608-73-1
54,27344-41-8
55,121-75-5
56,10102-06-4
57,96638-72-1
58,148-79-8
59,64618-68-4
60,1897-45-6
61,81406-37-3
62,13171-21-6
63,7681-52-9
64,78-99-9
65,188023-86-1
66,1194-65-6
67,52315-07-8
68,298-46-4
69,7447-39-4
70,94-75-7
71,50-00-0
72,107-06-2
73,21609-90-5
74,100-70-9
75,142-71-2
76,7439-97-6
77,84-65-1
78,121-33-5
79,143-33-9
80,22936-75-0
81,10599-90-3
82,81-81-2
83,8001-35-2
84,333-20-0
85,481-39-0
86,7487-94-7
87,8005-78-5
88,1982-47-4
89,111-27-3
90,7733-02-0
91,7646-85-7
92,40487-42-1
93,67375-30-8
94,75-91-2
95,708-76-9
96,106-48-9
97,1420-04-8
98,2212-67-1
99,315-18-4
100,111-90-0
101,1344-67-8
102,7773-06-0
103,16752-77-5
104,51-28-5
105,140-66-9
106,1929-73-3
107,9002-92-0
108,206-44-0
109,67-66-3
110,78-48-8
111,299-84-3
112,37262-61-6
113,7786-81-4
114,7664-41-7
115,115-29-7
116,55-38-9
117,77-47-4
118,5064-31-3
119,10099-74-8
120,12125-02-9
