,cas
3,25474-41-3
7,19902-04-6
11,12642-13-6
15,17109-36-3
18,42615-29-2
31,8027-85-8
33,76930-58-0
51,55406-53-6
52,68951-67-7
53,608-73-1
57,96638-72-1
59,64618-68-4
61,81406-37-3
65,188023-86-1
83,8001-35-2
93,67375-30-8
101,1344-67-8
107,9002-92-0
112,37262-61-6
122,10343-61-0
123,11096-82-5
133,60-57-1
137,39289-94-6
149,57213-69-1
154,63231-50-5
157,66330-88-9
164,12672-29-6
173,626201-67-0
192,57-74-9
198,9016-45-9
205,60617-06-3
211,12680-48-7
216,141112-29-0
218,68333-79-9
221,25171-63-5
223,29450-45-1
228,1320-18-9
229,56996-80-6
248,72574-95-9
253,100473-08-3
258,6491-02-7
261,120068-37-3
262,8002-13-9
268,8003-34-7
269,57571-05-8
277,42087-80-9
278,4180-12-5
282,4404-43-7
290,39403-84-4
291,39148-24-8
304,129630-19-9
305,1330-69-4
308,74665-86-4
309,11121-48-5
312,8030-30-6
313,319-84-6
317,287967-89-9
318,66230-04-4
324,2896-70-0
325,95312-94-0
329,3084-62-6
334,84852-15-3
335,25155-30-0
343,7782-86-7
344,156410-04-7
345,65996-94-3
349,68424-85-1
350,8067-49-0
352,12772-06-4
353,9006-42-2
358,1420-06-0
363,39278-82-5
364,1120-01-0
365,61791-26-2
367,66594-31-8
371,37353-63-2
373,147150-35-4
377,56902-08-0
383,1330-20-7
386,116580-64-4
388,14214-89-2
396,465-73-6
398,1191-50-0
400,177256-67-6
406,75139-62-7
408,63449-39-8
409,52769-87-6
412,1327-53-3
425,3861-41-4
434,858954-83-3
439,75139-61-6
442,11097-69-1
467,205650-65-3
472,8066-11-3
480,96300-97-9
481,37264-94-1
482,4136-91-8
490,11067-81-5
491,2274-99-9
493,125401-92-5
497,26264-06-2
504,71706-07-5
505,8001-54-5
512,5829-48-1
529,158062-67-0
531,61790-13-4
532,8067-55-8
534,64700-56-7
539,1464-42-2
540,400852-66-6
543,8027-00-7
547,61711-25-9
552,50934-16-2
555,1330-43-4
562,1330-78-5
563,19398-13-1
566,12698-87-2
571,121552-61-2
575,39331-45-8
576,172521-76-5
578,39341-15-6
586,12797-87-4
587,62010-28-0
590,56996-90-8
592,34455-29-3
594,1334-77-6
599,181274-15-7
602,15067-52-4
603,361377-29-9
607,55600-34-5
609,32534-95-5
613,11104-28-2
616,53112-28-0
617,12002-48-1
618,4501-00-2
621,128606-48-4
622,90-03-9
624,7772-99-8
625,37339-61-0
634,26635-92-7
637,74665-84-2
644,37301-44-3
646,55818-86-5
649,66555-33-7
651,12040-57-2
655,7245-02-5
659,91465-08-6
664,144940-97-6
665,25168-15-4
666,8002-05-9
676,114311-32-9
680,79617-96-2
682,11118-72-2
686,142-59-6
690,9036-19-5
692,1327-79-3
693,76703-62-3
698,11096-99-4
701,172520-87-5
704,68131-39-5
707,8004-92-0
709,37296-92-7
711,53469-21-9
726,51158-19-1
727,1309-64-4
734,1330-38-7
739,82633-79-2
741,104206-82-8
743,68188-45-4
749,8050-84-8
751,138261-41-3
752,210880-92-5
758,66419-38-3
766,67614-32-8
767,37223-73-7
779,7542-09-8
781,22431-62-5
786,57036-29-0
790,154592-20-8
799,56996-89-5
801,6408-78-2
802,68131-40-8
803,66594-32-9
807,68411-30-3
808,72674-05-6
816,8001-50-1
824,243973-20-8
827,287967-98-0
828,1325-37-7
829,28434-00-6
832,2008-46-0
835,8007-46-3
838,10039-54-0
839,12674-11-2
841,5103-74-2
844,150114-71-9
845,79902-63-9
847,9004-81-3
848,239110-15-7
849,365400-11-9
861,172306-85-3
863,2893-78-9
867,21265-50-9
868,25013-16-5
873,2939-80-2
884,3194-55-6
886,220899-03-6
887,8065-62-1
888,28288-05-3
895,11141-17-6
903,57055-39-7
912,112281-77-3
922,56996-94-2
923,56646-05-0
927,2212-59-1
929,874967-67-6
930,100986-85-4
952,1192-52-5
959,2163-79-3
965,39300-45-3
970,74-59-9
972,8007-45-2
974,55427-94-6
975,1319-77-3
980,471-74-9
994,95144-24-4
998,39450-05-0
999,8003-42-7
1002,2795-39-3
1013,65071-95-6
1016,111812-58-9
1019,8005-72-9
1023,68608-15-1
1025,6923-22-4
1027,29118-87-4
1031,127289-72-9
1033,56348-39-1
1036,176022-82-5
1041,15498-87-0
1043,177256-69-8
1047,5610-64-0
1048,2259-85-0
1050,1983-10-4
1053,25306-75-6
1055,123-88-6
1074,15281-91-1
1076,68585-47-7
1081,39429-71-5
1083,500008-45-7
1084,122548-33-8
1088,22296-58-8
1092,34364-42-6
1094,11100-14-4
1097,2039-46-5
1101,12002-03-8
1106,173159-57-4
1109,655-76-5
1112,12774-30-0
1114,96300-95-7
1123,3765-57-9
1128,172520-99-9
1132,108066-01-9
1135,31557-34-3
1139,65431-33-6
1145,13772-16-2
1148,23060-14-2
1150,13943-58-3
1162,64742-47-8
1163,8046-53-5
1167,58798-67-7
1168,2702-72-9
1169,54-11-5
1172,74871-33-3
1174,67167-02-6
1177,33878-50-1
1178,3351-05-1
1180,86-40-8
1185,54847-85-7
1187,464-49-3
1188,53826-12-3
1191,203313-25-1
1199,29245-51-0
1200,52508-35-7
1204,658066-35-4
1205,213464-77-8
1211,13306-69-9
1212,104653-34-1
1214,24980-59-4
1220,244094-39-1
1226,19826-60-9
1231,153719-23-4
1232,122836-35-5
1233,123343-16-8
1234,23505-21-7
1235,51092-74-1
1239,25267-15-6
1240,70896-08-1
1245,1338-24-5
1246,1303-96-4
1249,93106-60-6
1250,518-47-8
1253,4478-93-7
1254,75022-22-9
1256,319-85-7
1257,77-58-7
1264,51158-18-0
1266,17439-94-0
1269,56896-68-5
1271,115326-86-8
1280,3815-21-2
1288,52722-38-0
1304,592-85-8
1305,16485-47-5
1308,8030-78-2
1310,14788-97-7
1311,2782-70-9
1319,124495-18-7
1322,57754-85-5
1328,25322-68-3
1329,28382-15-2
1330,7076-53-1
1331,51158-21-5
1333,6753-47-5
1334,175013-18-0
1338,35832-11-2
1344,31512-74-0
1345,2866-43-5
1346,51596-11-3
1351,11100-04-2
1358,9005-66-7
1363,127289-71-8
1367,10293-06-8
1372,113032-51-2
1373,12715-61-6
1375,172520-93-3
1379,1344-81-6
1381,7631-89-2
1383,96352-69-1
1384,3567-25-7
1385,23504-07-6
1391,11113-60-3
1403,81591-81-3
1405,2436-93-3
1408,53763-47-6
1412,63935-38-6
1420,160759-29-5
1424,75602-99-2
1425,68439-50-9
1426,14025-21-9
1428,114247-06-2
1429,135410-20-7
1431,128-44-9
1437,56863-92-4
1438,219714-96-2
1449,118134-30-8
1454,58561-66-3
1460,50723-80-3
1469,39456-51-4
1470,25637-99-4
1472,137-88-2
1473,8070-47-1
1474,53572-61-5
1480,13071-11-9
1481,149979-41-9
1490,2491-38-5
1494,57017-81-9
1495,2626-83-7
1499,93-78-7
1500,2556-42-5
1504,374726-62-2
1505,66267-77-4
1513,8002-65-1
1521,56996-99-7
1525,596-85-0
1526,122467-32-7
1530,131341-86-1
1534,287962-26-9
1537,69806-34-4
1539,96489-71-3
1542,198697-58-4
1545,13473-90-0
1553,804-63-7
1557,3441-14-3
1559,11126-43-5
1561,66455-14-9
1563,287967-90-2
1565,13444-72-9
1566,56996-88-4
1568,148477-71-8
