,cas_no_smiles
0,25474-41-3
1,12642-13-6
2,68951-67-7
3,96638-72-1
4,64618-68-4
5,188023-86-1
6,39289-94-6
7,63231-50-5
8,626201-67-0
9,60617-06-3
10,68333-79-9
11,56996-80-6
12,72574-95-9
13,100473-08-3
14,8002-13-9
15,8003-34-7
16,57571-05-8
17,39403-84-4
18,1330-69-4
19,74665-86-4
20,8030-30-6
21,287967-89-9
22,7722-64-7
23,95312-94-0
24,25155-30-0
25,156410-04-7
26,8067-49-0
27,12772-06-4
28,39278-82-5
29,61791-26-2
30,66594-31-8
31,37353-63-2
32,56902-08-0
33,116580-64-4
34,177256-67-6
35,87392-12-9
36,75139-62-7
37,52769-87-6
38,858954-83-3
39,75139-61-6
40,205650-65-3
41,37264-94-1
42,2274-99-9
43,125401-92-5
44,26264-06-2
45,71706-07-5
46,8001-54-5
47,400852-66-6
48,61711-25-9
49,50934-16-2
50,12698-87-2
51,39331-45-8
52,172521-76-5
53,39341-15-6
54,12797-87-4
55,62010-28-0
56,56996-90-8
57,1334-77-6
58,15067-52-4
59,11104-28-2
60,37339-61-0
61,74665-84-2
62,37301-44-3
63,55818-86-5
64,66555-33-7
65,144940-97-6
66,8002-05-9
67,11118-72-2
68,11096-99-4
69,172520-87-5
70,68131-39-5
71,37296-92-7
72,51158-19-1
73,1330-38-7
74,68188-45-4
75,65589-70-0
76,8050-84-8
77,66419-38-3
78,37223-73-7
79,57036-29-0
80,154592-20-8
81,56996-89-5
82,68131-40-8
83,66594-32-9
84,68411-30-3
85,72674-05-6
86,20762-60-1
87,287967-98-0
88,1325-37-7
89,70630-17-0
90,8007-46-3
91,239110-15-7
92,365400-11-9
93,172306-85-3
94,28288-05-3
95,56996-94-2
96,56646-05-0
97,874967-67-6
98,99129-21-2
99,1399-80-0
100,74051-80-2
101,39300-45-3
102,8007-45-2
103,55427-94-6
104,39450-05-0
105,8003-42-7
106,65071-95-6
107,8005-72-9
108,68608-15-1
109,127289-72-9
110,176022-82-5
111,177256-69-8
112,39429-71-5
113,500008-45-7
114,11100-14-4
115,1326-82-5
116,12774-30-0
117,172520-99-9
118,108066-01-9
119,65431-33-6
120,13772-16-2
121,23060-14-2
122,64742-47-8
123,8046-53-5
124,58798-67-7
125,74871-33-3
126,67167-02-6
127,54847-85-7
128,53826-12-3
129,203313-25-1
130,658066-35-4
131,213464-77-8
132,24980-59-4
133,244094-39-1
134,19826-60-9
135,51092-74-1
136,70896-08-1
137,75022-22-9
138,51158-18-0
139,17439-94-0
140,56896-68-5
141,115326-86-8
142,3815-21-2
143,8030-78-2
144,8003-19-8
145,66-76-2
146,51158-21-5
147,31512-74-0
148,11100-04-2
149,127289-71-8
150,113032-51-2
151,172520-93-3
152,96352-69-1
153,11113-60-3
154,53763-47-6
155,160759-29-5
156,75602-99-2
157,68439-50-9
158,114247-06-2
159,56863-92-4
160,7558-80-7
161,58561-66-3
162,39456-51-4
163,8070-47-1
164,53572-61-5
165,149979-41-9
166,57017-81-9
167,374726-62-2
168,8002-65-1
169,56996-99-7
170,122467-32-7
171,287962-26-9
172,198697-58-4
173,3441-14-3
174,11126-43-5
175,66455-14-9
176,287967-90-2
177,56996-88-4
178,3240-78-6
179,63148-53-8
180,61791-24-0
181,12642-23-8
182,80209-54-7
183,70903-51-4
184,63798-36-7
185,223671-69-0
186,89072-60-6
187,11141-16-5
188,181314-95-4
189,61789-28-4
190,210631-68-8
191,66523-56-6
192,163269-30-5
193,287958-94-5
194,85409-17-2
195,68439-49-6
196,172521-44-7
197,68783-78-8
198,172521-59-4
199,25319-80-6
200,317815-83-1
201,39362-29-3
202,57017-80-8
203,25322-20-7
204,61912-87-6
205,187166-40-1
206,63513-77-9
207,138757-75-2
208,15311-99-6
209,53763-77-2
210,66829-05-8
211,172520-90-0
212,53763-29-4
213,11071-15-1
214,335104-84-2
215,72026-99-4
216,95686-19-4
217,15096-52-3
218,138789-81-8
219,8012-95-1
220,633-96-5
221,4299-07-4
222,287967-96-8
223,3251-29-4
224,5138-93-2
225,95751-97-6
226,15773-35-0
227,58561-88-9
228,66594-34-1
229,56863-88-8
230,201305-50-2
231,71379-75-4
232,68514-95-4
233,27854-31-5
234,77466-83-2
235,319925-56-9
236,172521-26-5
237,68534-58-7
238,56996-66-8
239,67167-01-5
240,67526-93-6
241,926030-25-3
242,181314-88-5
243,8001-58-9
244,64043-24-9
245,74565-67-6
246,37841-25-1
247,56996-91-9
248,64618-64-0
249,163515-14-8
250,64618-67-3
251,8061-51-6
252,1197379-18-2
253,195209-93-9
254,72027-02-2
255,138757-71-8
256,37337-13-6
257,72027-01-1
258,1315501-18-8
259,19381-50-1
260,76560-69-5
261,8066-08-8
262,372137-35-4
263,95266-40-3
264,74871-40-2
265,68439-46-3
266,37324-23-5
267,53572-62-6
268,27983-69-3
269,145607-53-0
270,52292-17-8
271,53763-67-0
272,63653-52-1
273,56863-89-9
274,172521-84-5
275,71212-10-7
276,115902-64-2
277,161026-34-2
278,71531-34-5
279,587-98-4
280,1332-65-6
281,12616-36-3
282,1112-38-5
283,59708-54-2
284,302578-96-7
285,172520-88-6
286,134109-51-6
287,50933-14-7
288,71265-70-8
289,138789-86-3
290,87820-88-0
291,422556-08-9
292,13762-51-1
293,172520-92-2
294,287958-91-2
295,308079-26-7
296,72231-04-0
297,53763-38-5
298,13466-06-3
299,287967-92-4
300,172521-37-8
301,72027-04-4
302,53762-96-2
303,138789-82-9
304,72026-97-2
305,70225-91-1
306,33360-84-8
307,34503-11-2
308,172521-52-7
309,53763-70-5
310,8012-55-3
311,86091-22-7
312,53239-78-4
313,1197379-16-0
314,1161016-82-5
315,56863-90-2
316,126851-28-3
317,51222-40-3
318,174300-34-6
319,64618-71-9
320,183675-82-3
321,139637-98-2
322,58561-80-1
323,865363-39-9
324,8075-74-9
325,1686-64-2
326,8004-98-6
327,172521-19-6
328,39290-50-1
329,138757-76-3
330,70887-84-2
331,64365-06-6
332,127289-42-3
333,85977-73-7
334,64618-66-2
335,950782-86-2
336,60440-48-4
337,64618-63-9
338,56863-93-5
339,58561-78-7
340,75534-59-7
341,1937-37-7
342,858956-08-8
343,245367-77-5
344,298-07-7
345,149961-52-4
346,56996-78-2
347,145701-23-1
348,127289-58-1
349,72027-03-3
350,56996-37-3
351,127277-53-6
352,14729-82-9
353,1161016-80-3
354,56864-03-0
355,67254-71-1
356,214710-34-6
357,1300-21-6
358,68952-95-4
359,135590-91-9
360,57987-02-7
361,66231-17-2
362,26972-01-0
363,64618-65-1
364,502-39-6
365,1413933-05-7
366,25550-58-7
367,72027-05-5
368,172521-57-2
369,172520-86-4
370,172521-71-0
371,37220-35-2
372,1302-78-9
373,65996-78-3
374,75603-06-4
375,138757-72-9
376,39412-51-6
377,83713-16-0
378,37228-47-0
379,56863-99-1
380,138757-63-8
381,172520-73-9
382,100092-74-8
383,73561-16-7
384,16530-58-8
385,53763-61-4
386,172521-20-9
387,16637-16-4
388,63148-69-6
389,11138-66-2
390,172521-43-6
391,72026-98-3
392,13814-96-5
393,1224510-29-5
394,139968-49-3
395,138757-73-0
396,62852-89-5
397,53763-42-1
398,52038-48-9
399,12738-46-4
400,63148-62-9
401,3212-28-0
402,1161016-86-9
403,172520-89-7
404,66829-03-6
405,172521-27-6
406,70901-12-1
407,138757-64-9
408,22555-16-4
409,126602-90-2
410,86090-90-6
411,57017-75-1
412,25482-49-9
413,138789-53-4
414,3663-24-9
415,66829-04-7
416,1982-42-9
417,53988-71-9
418,172521-35-6
419,172521-73-2
420,138790-63-3
421,9000-30-0
422,172521-58-3
423,120786-56-3
424,66594-33-0
425,97502-63-1
426,120067-83-6
427,1686-59-5
428,172521-30-1
429,160-02-1
430,135285-90-4
431,64618-70-8
432,8011-76-5
433,78565-30-7
434,53763-11-4
435,302578-97-8
436,138757-65-0
437,864076-54-0
438,812-70-4
439,53763-10-3
440,172521-36-7
441,53763-56-7
442,73606-19-6
443,25319-82-8
444,73263-81-7
445,95328-23-7
446,53763-53-4
447,72027-00-0
448,54650-57-6
449,172521-64-1
450,51142-62-2
451,1161016-84-7
452,561056-62-0
453,186825-36-5
454,114247-09-5
455,138790-38-2
456,172520-83-1
457,244094-40-4
458,8000-29-1
459,64618-69-5
460,119364-85-1
461,172521-70-9
462,32289-58-0
463,53763-34-1
464,53762-97-3
