,class,tax_order,family,genus,species
0,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus
10074,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
39090,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio
47057,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas
47382,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,latipes
52265,Actinopterygii,Perciformes,Channidae,Channa,punctata
53973,Actinopterygii,Siluriformes,Clariidae,Clarias,batrachus
54901,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,cuchia
54905,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus
57316,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,reticulata
60556,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta
61933,Actinopterygii,Siluriformes,Bagridae,Mystus,vittatus
62209,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus
66626,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,grandis
66649,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas
82769,Actinopterygii,Atheriniformes,Atherinidae,Menidia,beryllina
83183,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Rivulus,marmoratus
83400,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,variegatus
86116,Actinopterygii,Atheriniformes,Atherinidae,Menidia,menidia
86389,Actinopterygii,Perciformes,Moronidae,Morone,americana
86475,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,americanus
86721,Actinopterygii,Perciformes,Sparidae,Stenotomus,chrysops
86847,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,namaycush
87769,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus
87855,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,lucida
87977,Chondrichthyes,Rajiformes,Torpedinidae,Torpedo,marmorata
87979,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla
88767,Actinopterygii,Mugiliformes,Mugilidae,Mugil,cephalus
89210,Actinopterygii,Siluriformes,Bagridae,Mystus,gulio
89251,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,stigma
89266,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,rutilus
89484,Actinopterygii,Perciformes,Percidae,Perca,fluviatilis
89592,Actinopterygii,Perciformes,Anabantidae,Anabas,testudineus
89790,Actinopterygii,Perciformes,Cichlidae,Tilapia,hornorum
89797,Actinopterygii,Perciformes,Channidae,Channa,orientalis
90102,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,sophore
90206,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,dussumieri
90232,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,kisutch
93844,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
96385,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,daniconius
96434,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,ticto
96595,Actinopterygii,Cypriniformes,Cyprinidae,Danio,rerio
105003,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus
107322,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides
108329,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda
108412,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,quadricornis
108424,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,conchonius
108512,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,heteroclitus
110480,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Jordanella,floridae
111002,Actinopterygii,Siluriformes,Heteropneustidae,Heteropneustes,fossilis
112467,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus X niloticus
112472,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,punctatus
116467,Actinopterygii,Perciformes,Percidae,Sander,vitreus
116752,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus
117400,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis
119144,Actinopterygii,Esociformes,Esocidae,Esox,masquinongy
119166,Actinopterygii,Esociformes,Esocidae,Esox,lucius
119553,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,fulvescens
119591,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,alburnus
119715,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis
121490,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,canicula
121599,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua
122087,Actinopterygii,Mugiliformes,Mugilidae,Liza,macrolepis
122122,Actinopterygii,Cypriniformes,Cyprinidae,Gnathopogon,caerulescens
122194,Actinopterygii,Perciformes,Kyphosidae,Girella,punctata
122298,Actinopterygii,Perciformes,Gobiidae,Chasmichthys,dolichognathus
122469,Actinopterygii,Cypriniformes,Cobitidae,Lepidocephalichthys,guntea
122527,Actinopterygii,Osteoglossiformes,Mormyridae,Gnathonemus,petersii
122550,Actinopterygii,Perciformes,Sciaenidae,Sciaenops,ocellatus
122720,Actinopterygii,Perciformes,Osphronemidae,Colisa,fasciata
123045,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki
123265,Actinopterygii,Perciformes,Osphronemidae,Trichogaster,pectoralis
123301,Actinopterygii,Perciformes,Gobiidae,Tridentiger,trigonocephalus
123304,Actinopterygii,Perciformes,Siganidae,Siganus,fuscescens
123307,Actinopterygii,Perciformes,Carangidae,Trachurus,japonicus
123308,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rohita
124033,Actinopterygii,Cypriniformes,Cyprinidae,Cirrhinus,mrigala
124470,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax
124878,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,heteromorpha
125203,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar
127460,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,arcticus
127552,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
127600,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka
127842,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
127849,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis
129684,Actinopterygii,Siluriformes,Bagridae,Rita,rita
129744,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,annularis
129762,Actinopterygii,Perciformes,Sciaenidae,Leiostomus,xanthurus
130114,Actinopterygii,Atheriniformes,Atherinidae,Labidesthes,sicculus
130121,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
130446,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima
130458,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata
130599,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,hoyi
130606,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,oregonensis
132222,Actinopterygii,Cypriniformes,Cyprinidae,Acrocheilus,alutaceus
132223,Actinopterygii,Perciformes,Percidae,Perca,flavescens
132986,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,hudsonius
132996,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,commersoni
133507,Actinopterygii,Perciformes,Cichlidae,Tilapia,aurea
133643,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus
134784,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus
137273,Actinopterygii,Perciformes,Cichlidae,Tilapia,leucosticta
137289,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,cornutus
137319,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,atherinoides
137399,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu
137524,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,idus
138334,Actinopterygii,Mugiliformes,Mugilidae,Chelon,labrosus
138373,Actinopterygii,Perciformes,Centrarchidae,Lepomis,microlophus
138497,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,idella
138890,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,molitrix
138982,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus
139201,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,notatus
139443,Actinopterygii,Perciformes,Sparidae,Lagodon,rhomboides
139569,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,chrysoleucas
139570,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,trilineata
139574,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,aggregata
139636,Actinopterygii,Perciformes,Embiotocidae,Micrometrus,minimus
139644,Actinopterygii,Perciformes,Labridae,Thalassoma,bifasciatum
