,class,tax_order,family,genus,genus sp.
0,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
1,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
2,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio
3,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas
4,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Oryzias latipes
5,Actinopterygii,Perciformes,Channidae,Channa,Channa punctata
6,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias batrachus
7,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,Monopterus cuchia
8,Actinopterygii,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus
9,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata
10,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta
11,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus vittatus
12,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus
13,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus grandis
14,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,Pimephales promelas
15,Actinopterygii,Atheriniformes,Atherinidae,Menidia,Menidia beryllina
16,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Rivulus,Rivulus marmoratus
17,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon variegatus
18,Actinopterygii,Atheriniformes,Atherinidae,Menidia,Menidia menidia
19,Actinopterygii,Perciformes,Moronidae,Morone,Morone americana
20,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes americanus
21,Actinopterygii,Perciformes,Sparidae,Stenotomus,Stenotomus chrysops
22,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush
23,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus
24,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,Poeciliopsis lucida
25,Chondrichthyes,Rajiformes,Torpedinidae,Torpedo,Torpedo marmorata
26,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla
27,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil cephalus
28,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus gulio
29,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus stigma
30,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus rutilus
31,Actinopterygii,Perciformes,Percidae,Perca,Perca fluviatilis
32,Actinopterygii,Perciformes,Anabantidae,Anabas,Anabas testudineus
33,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia hornorum
34,Actinopterygii,Perciformes,Channidae,Channa,Channa orientalis
35,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius sophore
