,idx_test,idx_neigh_train,label_train
0,210,2210,1
1,6586,11094,1
2,4516,968,1
3,13815,349,1
4,4556,1158,1
5,10864,10055,1
6,19047,2377,0
7,5921,7066,1
8,20885,1934,1
9,22578,13070,0
10,14915,9644,1
11,13432,14555,1
12,17863,12655,0
13,21561,11274,1
14,17683,171,0
15,16961,1520,1
16,19516,6656,0
17,23310,12090,0
18,7809,5350,1
19,6863,6875,1
20,6239,9790,1
21,5183,10773,1
22,5857,289,0
23,4219,2064,0
24,10462,4486,0
25,10402,9814,1
26,2929,587,1
27,3328,7050,0
28,22789,477,1
29,11318,6220,1
30,15691,3644,1
31,11299,8030,1
32,19620,8527,1
33,5364,13687,1
34,6230,8746,0
35,259,3163,1
36,14200,14119,1
37,8165,6655,0
38,1418,5122,1
39,22515,5980,1
40,14463,4431,1
41,247,4276,1
42,19569,12814,1
43,11337,15093,1
44,18996,13023,0
45,13586,1285,0
46,22447,1766,1
47,12706,5041,1
48,19695,3287,1
49,15824,786,0
50,3386,10592,1
51,5915,5451,0
52,15186,3654,0
53,18997,5422,0
54,13966,12742,0
55,4084,6466,1
56,3381,8916,0
57,17899,2406,1
58,4417,7098,1
59,17108,4512,0
60,22204,10439,1
61,1045,1978,1
62,22748,3778,1
63,18085,3700,1
64,6876,8499,1
65,10202,14839,1
66,21730,4310,1
67,13634,14515,1
68,2641,316,1
69,17131,5075,1
70,12591,13600,1
71,3704,4392,0
72,3529,5661,0
73,10499,7336,1
74,2508,8695,1
75,503,14979,0
76,6138,946,1
77,10352,1121,0
78,10501,2965,0
79,12586,317,1
80,18885,2109,0
81,8099,7385,1
82,8709,534,1
83,2734,11165,0
84,13435,8795,1
85,6275,2916,0
86,2790,1074,0
87,22762,13652,1
88,3639,2254,0
89,8355,13753,0
90,21079,3753,1
91,516,2486,1
92,7958,4614,0
93,3068,484,1
94,18857,7410,0
95,1510,5846,1
96,3662,276,1
97,20672,3728,1
98,5549,12878,0
99,4271,162,0
100,8299,3552,0
101,19751,6222,0
102,17895,2396,1
103,21718,12123,1
104,14578,525,0
105,13354,3267,0
106,2425,11647,1
107,7841,8143,1
108,12284,11854,1
109,8453,2948,0
110,20619,6167,1
111,6538,1160,1
112,11583,7137,1
113,6534,4441,1
114,14910,6932,0
115,18983,6168,1
116,8270,9500,0
117,6024,4638,0
118,12800,1302,1
119,134,3971,1
120,18665,10796,0
121,4309,7108,1
122,16877,7280,1
123,15508,14283,1
124,11746,1199,1
125,3847,11697,1
126,11863,10512,1
127,6983,11224,1
128,16761,9883,1
129,9785,3685,1
130,18874,9502,0
131,8091,4964,1
132,10926,3887,1
133,3295,1599,0
134,984,13958,1
135,6290,1757,0
136,167,466,1
137,9405,785,0
138,4489,5998,1
139,6712,4197,1
140,6145,9867,1
141,7072,414,0
142,16070,1629,1
143,8293,7749,0
144,8087,4964,1
145,22829,6002,0
146,20630,7294,1
147,18034,9610,1
148,6357,12029,0
149,18409,6761,1
150,9014,13315,1
151,8972,1560,1
152,19369,11483,0
153,18720,2118,0
154,18723,834,0
155,7051,1873,0
156,18636,7427,0
157,21761,11686,0
158,11786,3755,1
159,4580,7818,0
160,14817,3345,0
161,11621,9025,1
162,6978,13213,1
163,5186,12278,1
164,2842,10085,0
165,20854,3108,1
166,21998,14926,1
167,11509,8304,1
168,18585,14592,1
169,2559,2720,1
170,19041,362,1
171,2152,10062,1
172,1880,6130,1
173,9392,3338,1
174,9801,1544,1
175,8764,5147,1
176,19919,14519,0
177,3207,7050,0
178,7167,12366,0
179,17086,13635,1
180,8285,3552,0
181,1114,112,1
182,19949,3413,1
183,12964,3930,1
184,22073,943,1
185,7997,1701,1
186,7359,249,0
187,11717,7959,0
188,696,2831,1
189,15423,9734,1
190,22016,2028,1
191,23000,8793,1
192,9213,818,1
193,12514,4270,1
194,14728,5826,0
195,3352,3112,1
196,2254,8790,1
197,18907,10134,1
198,16372,2261,1
199,3488,1535,1
200,13826,5686,1
201,19448,1718,1
202,18239,15439,0
203,2388,5478,1
204,15799,4081,1
205,18592,4847,1
206,221,10025,1
207,17110,418,0
208,19597,11992,0
209,15952,6389,0
210,5418,9875,1
211,10072,883,1
212,7912,1739,1
213,8141,2592,0
214,14393,11404,1
215,1087,12308,1
216,1743,2527,1
217,18806,1364,1
218,18016,14900,1
219,8796,14510,1
220,2898,2080,1
221,19207,12859,1
222,18149,2671,0
223,22952,1964,1
224,21861,9207,1
225,15755,9807,1
226,13811,349,1
227,18630,532,0
228,20933,8373,1
229,2111,6412,1
230,19744,6965,1
231,5815,4122,0
232,19444,2777,0
233,4455,1686,1
234,13624,152,0
235,3643,1863,0
236,8468,6202,1
237,4397,3218,0
238,19542,5501,0
239,1599,3493,0
240,4306,182,0
241,13842,9141,0
242,17718,11632,1
243,8086,8775,1
244,16361,4337,1
245,6181,355,0
246,11423,9060,1
247,9961,4264,1
248,6440,12536,1
249,11398,4887,1
250,199,9962,0
251,21535,793,0
252,18809,9332,1
253,17838,4433,1
254,52,3968,1
255,18475,3243,1
256,20930,14384,1
257,4610,8996,0
258,21221,9624,1
259,15879,4990,1
260,6526,7609,1
261,15290,4993,0
262,1503,6408,1
263,22587,12804,1
264,16340,6404,1
265,17820,6118,1
266,11566,2281,0
267,6689,347,1
268,23166,556,1
269,18456,10710,1
270,4504,5544,0
271,5359,1817,1
272,469,2984,0
273,2518,2827,1
274,11480,2217,1
275,14893,9846,1
276,13155,2622,0
277,19654,827,0
278,11827,8003,1
279,5504,1476,1
280,5514,11523,1
281,19049,2377,0
282,2055,10861,1
283,6653,9073,1
284,14354,1570,1
285,21667,3424,0
286,6549,9721,1
287,22381,4906,1
288,19773,4912,1
289,14297,8144,1
290,16642,4352,0
291,11524,7891,0
292,6232,6390,0
293,11898,2057,1
294,970,3262,1
295,8117,1951,0
296,11233,3423,0
297,1493,4903,0
298,9295,2286,1
299,19999,6004,0
300,23021,9475,1
301,5862,843,0
302,2884,2019,1
303,14529,663,1
304,17024,9443,0
305,20524,8255,1
306,8684,12054,1
307,367,7629,1
308,7821,3993,1
309,1873,15433,1
310,22425,1005,1
311,14974,12434,0
312,13847,6772,0
313,15937,6820,0
314,4279,1986,0
315,11287,5374,0
316,14014,8885,1
317,520,3113,1
318,19347,7377,0
319,2751,5607,1
320,22023,2598,1
321,6392,3839,0
322,423,236,1
323,11807,3755,1
324,8241,1390,0
325,1889,2011,0
326,14023,7758,1
327,20987,4131,0
328,6706,12869,1
329,23037,2857,0
330,19630,1120,1
331,6550,2633,1
332,20629,7853,1
333,9172,9147,1
334,12343,4278,1
335,10611,710,1
336,11651,6735,0
337,1475,5187,1
338,11674,9350,1
339,17534,6279,0
340,7216,1248,0
341,4991,9327,0
342,2766,7915,0
343,11879,6030,1
344,21651,7023,1
345,11764,846,1
346,8407,3400,1
347,7431,1095,0
348,5325,6144,0
349,3784,5142,1
350,16985,11613,1
351,6987,14850,0
352,18580,3515,1
353,21359,167,1
354,447,1192,0
355,20431,7877,1
356,16707,9013,0
357,11481,2217,1
358,1812,3729,0
359,5337,8779,0
360,3429,6368,0
361,15544,1585,0
362,19997,48,0
363,11611,2700,1
364,17550,431,1
365,12689,3140,1
366,12010,4590,1
367,7786,5806,1
368,17853,6705,1
369,7290,7091,0
370,13552,3205,0
371,12723,3396,1
372,6308,9065,0
373,2727,111,0
374,22732,4151,0
375,18417,14171,1
376,7646,7940,1
377,4160,2977,0
378,15062,12252,1
379,640,161,1
380,13709,4369,1
381,23315,4920,0
382,10274,10603,1
383,315,3907,1
384,18666,10796,0
385,20363,5847,0
386,16739,4192,1
387,10250,15357,1
388,16893,11610,1
389,3213,1414,0
390,15827,9397,0
391,4048,3186,1
392,16492,5610,0
393,22740,7913,1
394,3226,5898,0
395,11066,3607,1
396,21514,308,1
397,2501,3848,1
398,14481,4566,0
399,15884,5479,1
400,21757,3715,1
401,22686,712,1
402,12895,8635,0
403,22431,3794,1
404,16055,3836,1
405,5047,13306,0
406,8603,6894,1
407,5610,3051,0
408,16125,1865,1
409,18127,10027,1
410,14127,1801,1
411,283,237,0
412,8114,1951,0
413,14986,6737,0
414,15611,7463,1
415,20323,6519,1
416,19471,3893,1
417,10658,5499,1
418,18823,722,1
419,17993,1386,1
420,5394,4034,1
421,15375,12186,1
422,6864,876,0
423,11472,14523,0
424,12724,3396,1
425,18462,8148,1
426,10688,8954,1
427,6134,10486,1
428,3752,4908,1
429,4149,4415,0
430,1822,6482,0
431,12262,2914,0
432,21049,1981,1
433,7070,2103,0
434,4525,2980,1
435,6051,4015,1
436,17034,2748,0
437,4871,3561,1
438,4484,3010,1
439,21960,13694,1
440,15794,15624,1
441,428,685,1
442,18273,4442,1
443,6097,3704,1
444,866,6147,1
445,5762,957,0
446,19875,8382,1
447,3100,1448,1
448,14731,3286,0
449,18622,1700,1
450,2579,7219,0
451,3979,298,1
452,16432,11743,0
453,11537,10111,0
454,6628,12850,0
455,21320,8500,1
456,23112,9710,1
457,10121,7863,1
458,6481,4286,1
459,2173,10493,1
460,19893,15416,1
461,19888,4776,1
462,5371,5037,1
463,20367,1161,1
464,6235,13805,0
465,6557,7435,1
466,9652,313,0
467,21086,11894,1
468,10504,689,0
469,18220,3714,1
470,22309,8410,1
471,15726,4346,1
472,17389,9569,1
473,21778,3424,0
474,9059,4184,1
475,2300,1472,0
476,2232,11809,0
477,13981,12014,1
478,21466,406,1
479,4902,10750,1
480,9816,15101,1
481,11282,9421,0
482,22848,1827,1
483,16084,2512,1
484,16635,787,1
485,501,5703,1
486,8807,7849,1
487,20057,12751,0
488,15765,7918,0
489,20499,10802,1
490,10439,8807,1
491,1644,200,0
492,16814,6699,0
493,21170,5835,1
494,18948,11349,1
495,19264,370,0
496,20092,3562,0
497,11726,6995,0
498,10930,4233,1
499,18399,12157,1
500,17571,10907,0
501,11852,3280,1
502,18744,13541,1
503,7712,14743,1
504,9658,6529,0
505,18853,2109,0
506,20324,6519,1
507,16228,2760,1
508,2714,13878,1
509,15788,15572,0
510,2084,4913,0
511,8059,6788,0
512,8119,7684,0
513,20312,5996,1
514,10262,970,1
515,11405,10770,1
516,20027,14772,1
517,10697,1251,1
518,18484,4627,1
519,8043,1673,1
520,21274,2229,1
521,7047,1873,0
522,2992,706,1
523,2516,2827,1
524,13244,15145,0
525,1056,4724,1
526,2361,7367,1
527,7850,6599,1
528,15582,1021,0
529,2085,4913,0
530,14795,8997,0
531,20196,10206,1
532,9912,14802,1
533,10359,3740,1
534,13182,12954,0
535,4165,2581,0
536,17554,9247,0
537,4547,8438,1
538,14775,5124,1
539,7505,1515,0
540,17953,5782,1
541,14091,1730,1
542,22772,14390,1
543,17544,12621,1
544,19449,1718,1
545,911,2076,1
546,6224,7561,0
547,20068,3558,0
548,20728,720,1
549,3668,9280,0
550,323,6051,1
551,21307,7539,1
552,19344,1362,0
553,15494,248,0
554,18534,4771,1
555,17333,147,1
556,22474,7102,1
557,4821,9598,1
558,16413,6139,0
559,13342,4691,0
560,12956,94,1
561,12654,2222,1
562,9861,4409,1
563,13378,283,0
564,19160,3553,0
565,17031,11152,0
566,17688,1073,1
567,21014,1523,1
568,4140,9186,0
569,14461,597,1
570,3387,2187,1
571,21004,6029,1
572,10290,8017,1
573,13751,8893,1
574,11432,12592,0
575,11804,11505,1
576,20339,1149,0
577,15785,9260,1
578,17973,1386,1
579,21708,3489,1
580,2781,1909,1
581,3703,8551,1
582,10154,1360,1
583,19866,1429,1
584,7576,12936,0
585,18849,4547,0
586,2830,3302,0
587,15058,12088,1
588,8460,6347,0
589,7375,5800,0
590,9565,7636,0
591,3958,3559,0
592,14101,1047,1
593,2020,1361,1
594,17529,1179,0
595,21450,2917,1
596,6814,2160,1
