,acc_train,acc_test,rmse_train,rmse_test,auc_train,auc_test,recall_train,recall_test,precision_train,precision_test
k = 1,0.853824,0.8262959594647266,0.3823297006511527,0.4167781670568571,0.845640166921612,0.817307975746609,0.8769277597402597,0.850204081632653,0.8897467572575664,0.8735583979869994
k = 2,0.84416,0.812914122385345,0.3947657533272105,0.43253425022147673,0.8617359433284257,0.8321928013250348,0.7945413961038961,0.7616326530612245,0.9502487562189055,0.932067932067932
k = 3,0.873728,0.8509809016499935,0.35534771703220497,0.3860299189829805,0.8618845734619428,0.8388439508803164,0.9071631493506493,0.883265306122449,0.8941894189418942,0.8827248623291862
k = 4,0.855872,0.8304534234117189,0.37964193656654954,0.4117603387752166,0.8514325387680008,0.8279386076919149,0.8684050324675324,0.8371428571428572,0.8996216102585664,0.8899978303319592
k = 5,0.862144,0.8404573210341691,0.3712896443479134,0.3994279396409706,0.8404110014508805,0.8196073781675701,0.9234983766233766,0.8959183673469387,0.8666920586554941,0.8594361785434612
k = 6,0.865664,0.843965181239444,0.36651875804656986,0.3950124286152982,0.8609553493341032,0.8397016847496952,0.8789569805194806,0.8553061224489796,0.9053192601107743,0.8949391415759129
k = 7,0.8512,0.8330518383785891,0.38574603043971817,0.4085929045167218,0.8277108458526653,0.8113359430293391,0.9175121753246753,0.8908163265306123,0.856750355281857,0.8533724340175953
k = 8,0.87008,0.852150188385085,0.3604441704342019,0.38451243362850424,0.8643119967222932,0.8474345326260644,0.8863636363636364,0.8646938775510205,0.9056603773584906,0.8991935483870968
k = 9,0.864256,0.843965181239444,0.36843452606942256,0.3950124286152982,0.8523997778092942,0.831108804623029,0.8977272727272727,0.8781632653061224,0.8882642304989459,0.8769105359690238
k = 10,0.865536,0.845524230219566,0.3666933323637069,0.3930340567691735,0.857439624965951,0.8376271223541256,0.8883928571428571,0.8665306122448979,0.8974069898534386,0.8880987241162936
k = 11,0.864832,0.8469533584513447,0.36765200937843384,0.39121176049379613,0.8541142389743208,0.8357574077181821,0.8950892857142857,0.876734693877551,0.8911111111111111,0.8821355236139631
k = 12,0.8624,0.8424061322593218,0.3709447398198282,0.3969809412814149,0.8533365468817886,0.8332600891625868,0.887987012987013,0.866734693877551,0.8932435190855277,0.8835032244643228
k = 13,0.860928,0.8420163700142913,0.37292358466581327,0.39747154613344177,0.8495102134983668,0.8298083588100953,0.893161525974026,0.8744897959183674,0.8871309079915348,0.8769954973393369
k = 15,0.849728,0.8366896193322073,0.38764932606674296,0.4041167908758465,0.8298504883918301,0.817568860221958,0.9058441558441559,0.8875510204081632,0.8627754155392346,0.8603363006923838
k = 17,0.856256,0.843965181239444,0.37913585955432916,0.3950124286152982,0.838726781619966,0.8263520316957674,0.9057426948051948,0.8908163265306123,0.871436938695822,0.8676207513416816
k = 19,0.85536,0.843965181239444,0.3803156583681508,0.3950124286152982,0.8379087355052643,0.8265821981277316,0.9046266233766234,0.8902040816326531,0.8710433763188745,0.8680597014925373
k = 21,0.852352,0.8426659737560088,0.3842499186727305,0.3966535342638348,0.8335477223201483,0.8240273470847045,0.9054383116883117,0.8922448979591837,0.8664918924167395,0.8648862512363996
k = 23,0.851776,0.8417565285176043,0.38499870129651087,0.39779827988868394,0.8332349061007894,0.8230061727944664,0.9041193181818182,0.8916326530612245,0.8666601828438047,0.864121835443038
k = 25,0.848448,0.8390281928023905,0.38929680193908606,0.4012129200282681,0.8293390325981005,0.8199426499237521,0.9023944805194806,0.889795918367347,0.863495145631068,0.8618304012650722
k = 27,0.845632,0.837858906067299,0.3928969330498776,0.40266747314962137,0.8262802786191534,0.8183337832809207,0.9002637987012987,0.889795918367347,0.861289070083479,0.8602999210734017
k = 29,0.842304,0.8327919968819021,0.39710955667170744,0.40891075202065547,0.8228156804843623,0.8124361378444835,0.8973214285714286,0.8869387755102041,0.8589743589743589,0.8556802520181138
k = 31,0.841728,0.8334416006236196,0.3978341362930034,0.40811566911401526,0.8224309850370205,0.8134066747900448,0.8962053571428571,0.886734693877551,0.8589905669551687,0.8566640378548895
k = 33,0.84096,0.8329219176302456,0.39879819457966453,0.40875185916366724,0.8253802405884112,0.8164510080042027,0.8849431818181818,0.876734693877551,0.8658790826963169,0.8629971876255524
k = 35,0.838592,0.8326620761335586,0.401756144943671,0.4090695831596887,0.8233235132976747,0.8166305370914901,0.8816964285714286,0.8753061224489795,0.8650209038423253,0.8636729762384213
k = 37,0.836992,0.832012472391841,0.4037424921902573,0.4098628155958516,0.8215880353287724,0.8162737772978337,0.8804788961038961,0.8738775510204082,0.8637404200258784,0.8638289287875731
k = 39,0.8352,0.8299337404183448,0.40595566260368876,0.4123909062790488,0.8197003658014287,0.8136437363647641,0.8789569805194806,0.873265306122449,0.8624191139870583,0.8614858063217233
k = 41,0.83136,0.826166038716383,0.4106580085667392,0.4169340011124267,0.8144282785651253,0.8082294440836757,0.8791599025974026,0.8738775510204082,0.8571569888218419,0.8560575769692124
k = 43,0.830656,0.8268156424581006,0.4115142767875739,0.41615424729527806,0.8128279940450865,0.8081258710134035,0.8809862012987013,0.8765306122448979,0.8549625836943678,0.8550666932112283
