,acc_train,acc_test,rmse_train,rmse_test
k = 1,0.641984,0.5773678056385605,0.8133683052590629,0.9008246189761725
k = 2,0.614272,0.5568403274002858,0.8492443700137199,0.924385613180597
k = 3,0.650944,0.5971157593867741,0.8367938814307858,0.9030573278326328
k = 4,0.632768,0.5865921787709497,0.8832304342582404,0.9489366189418927
k = 5,0.635648,0.584903209042484,0.8504869193585519,0.9139969430193803
k = 6,0.632896,0.5808756658438352,0.8700896505533209,0.9238232492574108
k = 7,0.630464,0.5820449525789269,0.8771225684019309,0.9311772518938534
k = 8,0.636032,0.5852929712875146,0.8726236302094965,0.9338244282956204
k = 9,0.637376,0.583863843055736,0.8741258490629367,0.9394421980608847
k = 10,0.632448,0.5852929712875146,0.8850401120853224,0.9484573061189767
k = 11,0.634944,0.5893205144861634,0.8635183842860557,0.931944313076896
k = 12,0.631168,0.5888008314927894,0.8909500547168736,0.9448890848224483
k = 13,0.633152,0.5889307522411329,0.8917757565666382,0.9480462736809873
k = 15,0.617344,0.5781473301286215,0.9043185279535082,0.9472236737224652
k = 17,0.618624,0.57697804339353,0.9037167697901816,0.9549417430519518
k = 19,0.611136,0.5700922437313239,0.9278620587134706,0.9726011354553826
k = 21,0.60896,0.5697024814862933,0.9218069212150666,0.9675117528045811
k = 23,0.604288,0.5686631154995453,0.9237488836258477,0.9674446087847353
k = 25,0.60064,0.5697024814862933,0.9373665238315266,0.9658990081032015
k = 27,0.594944,0.5673639080161101,0.9462684608503023,0.9744028062841231
k = 29,0.593792,0.565545017539301,0.9535449648548305,0.9781290256411017
k = 31,0.591872,0.5663245420293621,0.9537127450128786,0.9724675455728138
k = 33,0.5872,0.5630765233207743,0.9701463807075714,0.9827008305874749
k = 35,0.582208,0.558919059373782,0.980318315650585,0.9887636882920591
k = 37,0.580352,0.5568403274002858,0.9861764547990385,0.9910604711504435
k = 39,0.577984,0.5521631804599194,0.9974367147844518,0.9995451739474287
k = 41,0.574528,0.5499545277380797,1.000735729351161,1.0060231754765625
k = 43,0.569728,0.5473561127712095,1.0060934350247992,1.0098900308927488
k = 45,0.566592,0.5444978563076524,1.018265191391712,1.0228009902527209
k = 47,0.559744,0.5393010263739119,1.0254676981748376,1.0276165834279112
k = 49,0.555584,0.5350136416785761,1.0325579886863498,1.034295625950562
k = 51,0.551296,0.5303364947382097,1.0507444979632299,1.0489512942559298
