,acc_train,acc_test,rmse_train,rmse_test,auc_train,auc_test,recall_train,recall_test,precision_train,precision_test
k = 1,0.528704,0.5289073665064311,0.6865100144935979,0.6863618823139649,0.5043695254303678,0.5029481295557192,0.5974025974025974,0.5979591836734693,0.6342093925032314,0.6389010030527693
k = 2,0.479744,0.4675847732882941,0.7212877373143121,0.7296678879543116,0.5150854661080382,0.5050378685617973,0.3799715909090909,0.3679591836734694,0.6498351553010585,0.6430099857346647
k = 3,0.564352,0.5426789658308432,0.6600363626346657,0.676255154634075,0.5208022917778183,0.496655417976987,0.687297077922078,0.6651020408163265,0.6452043051719212,0.6342934994161152
k = 4,0.526208,0.5120176692217747,0.6883255043945415,0.698557321039745,0.5177013107310007,0.5018049221833889,0.5502232142857143,0.5391836734693878,0.6461336828309305,0.6381642512077295
k = 5,0.583104,0.5619072365856828,0.6456748407673943,0.6618857631149935,0.5210389110910757,0.49648975213968327,0.7583198051948052,0.7359183673469388,0.643977253144925,0.6344123856439128
k = 6,0.554304,0.5304664154865532,0.6676046734408021,0.6852252071497712,0.525057068976482,0.4991856799924117,0.6368709415584416,0.6136734693877551,0.6496584558062513,0.6359983079526227
k = 7,0.592576,0.5739898661816292,0.6382977361701982,0.6526945179931962,0.5218622597717761,0.5000719429709675,0.7922077922077922,0.7706122448979592,0.6439056572653802,0.6366548642724666
k = 8,0.568576,0.5443679355593088,0.6568287448033924,0.6750052328987466,0.5244380229754645,0.4985190035971486,0.6931818181818182,0.6663265306122449,0.6476443264764432,0.6355849717734086
k = 9,0.604928,0.5754189944134078,0.6285475320132917,0.6515988072323278,0.5275201944224955,0.49367562183972624,0.8234577922077922,0.7928571428571428,0.6467447605386883,0.6329423264907136
k = 10,0.58336,0.5526828634532935,0.6454765681262179,0.6688177154850987,0.5285016351952779,0.4941550713957374,0.7382305194805194,0.7083673469387755,0.6492950205247189,0.63281677301732
k = 11,0.607552,0.5845134467974535,0.6264567024144606,0.6445824642375454,0.5235263509566357,0.4960617060553216,0.8447646103896104,0.8197959183673469,0.6440284653465347,0.6343967150979154
k = 12,0.591296,0.5663245420293621,0.6392996167682256,0.6585403996495871,0.5267776856907609,0.496429921271333,0.7734375,0.7522448979591837,0.6473335597826086,0.6344234079173838
k = 13,0.611264,0.5937378199298428,0.6234869685887588,0.6373869939606214,0.5220840881795445,0.49947049681510075,0.8630275974025974,0.8444897959183674,0.6429327286470143,0.6363216976779947
k = 15,0.615232,0.5951669481616214,0.6202967031993641,0.6362649226842374,0.5223901508820092,0.4972171714592165,0.8773336038961039,0.8557142857142858,0.6428996282527881,0.6351105725537716
