,acc_train,acc_test,rmse_train,rmse_test
k = 1,0.221376,0.20319605040925035,1.8193449370583907,1.8697346058805189
k = 2,0.228288,0.20566454462777706,1.7890690316474656,1.8365381966476697
k = 3,0.221376,0.2012472391840977,1.8753644979043407,1.9120590624733287
k = 4,0.230976,0.21177081979992204,1.8493328526795818,1.8737258023752257
k = 5,0.238528,0.21203066129660908,1.7828875455283208,1.8157639799030227
k = 6,0.24224,0.21813693646875407,1.760963372702567,1.778460181849108
k = 7,0.241408,0.21813693646875407,1.769971751187007,1.7979677584103746
k = 8,0.244928,0.2186566194621281,1.7674750351843729,1.8058268974135125
k = 9,0.252224,0.217357411978693,1.739774698057194,1.7782044801384225
k = 10,0.254528,0.21761725347538002,1.726499348392579,1.7627207996116108
k = 11,0.254464,0.21566844225022735,1.7137561086689086,1.7468024203085153
k = 12,0.255296,0.21722749123034948,1.7143535224684552,1.7363959245540308
k = 13,0.25792,0.21423931401844876,1.707170758887347,1.7409167749658259
k = 15,0.262272,0.22216447966740288,1.6810092206766742,1.7155450190028656
k = 17,0.270016,0.21748733272703652,1.6733774230579306,1.7186472045157233
k = 19,0.273152,0.22268416266077692,1.649882420053017,1.7073083815863497
k = 21,0.276032,0.22268416266077692,1.6345274546485904,1.6977313692103293
k = 23,0.27712,0.22437313238924256,1.6308819699782078,1.693517203834373
k = 25,0.279168,0.2248928153826166,1.6193430766826404,1.6699936478746844
k = 27,0.276928,0.22515265687930364,1.619244268169568,1.6571858008337883
k = 29,0.279296,0.2309990905547616,1.6095117272017623,1.6508233149714948
k = 31,0.281728,0.23151877354813563,1.6023782325031752,1.64396210632779
k = 33,0.28384,0.23112901130310512,1.5922813821683652,1.6483029725628389
k = 35,0.28192,0.2334675847732883,1.5872491927860601,1.6373498838270146
k = 37,0.284928,0.23320774327660126,1.581088232832058,1.6248044824963195
k = 39,0.282688,0.23203845654150967,1.5797923914236327,1.6233245327572126
k = 41,0.281728,0.23762504872028062,1.5737445790216404,1.6135308723590034
k = 43,0.282944,0.23554631674678447,1.568856908707738,1.6034343419578265
k = 45,0.285632,0.23801481096531116,1.5619270149401987,1.6025022657574708
k = 47,0.286528,0.23918409770040275,1.5581322151858616,1.602745468328608
k = 49,0.283968,0.23645576198518903,1.559548652655633,1.5976710996650563
k = 51,0.286144,0.23593607899181498,1.5539575283771432,1.5931515118276793
