,test_cas,smiles
107,13601-19-9,[Na+].[Na+].[Na+].[Na+].[Fe-4](|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)|[C]#N
210,1330-43-4,[B+3].[B+3].[B+3].[B+3].O.O.O.O.O.O.O.[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Na+].[Na+]
356,1461-22-9,[Cl]|[Sn](CCCC)(CCCC)CCCC
586,65996-94-3,[O-][P-]([O-])=O
620,10028-15-6,O=[O]=O
722,1317-39-1,[OH2--].[Cu+].[Cu+]
760,1983-10-4,[F]|[Sn](CCCC)(CCCC)CCCC
813,639-58-7,[Cl]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3
814,21548-73-2,[SH--].[Ag+].[Ag+]
1010,1066-45-1,[Cl]|[Sn](C)(C)C
1012,31089-39-1,[Cu++].OCC[N-](CCO)CCO
1315,1067-14-7,[Cl]|[Pb](CC)(CC)CC
1449,14220-17-8,[K+].[K+].[Ni--](|[C]#N)(|[C]#N)(|[C]#N)|[C]#N
1683,379-52-2,[F]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3
1930,7646-78-8,[Cl]|[Sn](|[Cl])(|[Cl])|[Cl]
2027,1135-99-5,[Cl]|[Sn](|[Cl])(c1ccccc1)c2ccccc2
2210,753-73-1,[Cl]|[Sn](|[Cl])(C)C
2445,5407-04-5,[H+].[Cl-].CN(C)CCCCl
2587,16941-12-1,[Cl]|[Pt--](|[Cl])(|[Cl])(|[Cl])(|[Cl])|[Cl].[H+].[H+]
2661,39453-37-7,CCCCCCCCCC1=CC(=O)\C(C=C1)=C2/C=C\C(=C\NO)C=C2.CCCCC(CC)C(O)/C(=N/O)C(CC)CCCC
2690,2767-54-6,[Br]|[Sn](CC)(CC)CC
2699,683-18-1,[Cl]|[Sn](|[Cl])(CCCC)CCCC
2707,1520-78-1,[Cl]|[Pb](C)(C)C
2734,7337-45-3,[B+3].[H-].[H-].[H-].CC(C)(C)N
2786,1124-19-2,[Cl]|[Sn](|[Cl])(|[Cl])c1ccccc1
2843,1118-46-3,[Cl]|[Sn](|[Cl])(|[Cl])CCCC
2906,1520-77-0,[Cl]|[Pb](|[Cl])(C)C
