,test_cas
4,115326-86-8
35,8002-65-1
42,188023-86-1
43,58561-66-3
47,63231-50-5
60,39341-15-6
69,67526-93-6
98,66594-31-8
99,56646-05-0
103,8003-34-7
130,8012-95-1
142,51158-18-0
145,11104-28-2
185,177256-67-6
188,239110-15-7
203,50934-16-2
207,68951-67-7
210,74665-86-4
219,8001-54-5
258,74665-84-2
267,12698-87-2
278,39289-94-6
283,100473-08-3
285,62010-28-0
288,7722-64-7
290,65589-70-0
292,8002-05-9
293,56996-90-8
300,12797-87-4
324,39331-45-8
325,172521-76-5
326,60617-06-3
355,1334-77-6
362,67167-01-5
363,96638-72-1
382,15067-52-4
394,72574-95-9
398,400852-66-6
402,67167-02-6
412,17439-94-0
438,61711-25-9
448,95751-97-6
458,15773-35-0
459,58561-88-9
465,57571-05-8
486,8002-13-9
489,156410-04-7
506,8050-84-8
548,8030-30-6
552,287967-89-9
557,61791-26-2
563,11118-72-2
567,1330-69-4
580,37223-73-7
588,68131-39-5
590,116580-64-4
597,25155-30-0
602,1399-80-0
603,201305-50-2
609,66594-34-1
615,95312-94-0
626,68333-79-9
634,8067-49-0
635,12772-06-4
653,25474-41-3
656,39278-82-5
670,56902-08-0
681,39403-84-4
692,53988-71-9
695,12642-13-6
697,37353-63-2
727,108066-01-9
735,60842-48-0
739,213464-77-8
758,24980-59-4
761,75139-62-7
765,56896-68-5
766,37301-44-3
767,658066-35-4
789,19826-60-9
795,74871-33-3
813,58798-67-7
829,8046-53-5
830,75022-22-9
833,500008-45-7
837,71706-07-5
839,66419-38-3
843,53826-12-3
859,11100-14-4
866,14215-52-2
867,53516-76-0
870,54847-85-7
875,51092-74-1
877,203313-25-1
888,244094-39-1
896,37341-07-4
912,70896-08-1
943,287962-26-9
944,70630-17-0
950,72027-03-3
956,19381-50-1
973,58561-78-7
975,12774-30-0
976,63148-69-6
983,9007-39-0
988,65071-95-6
992,62852-89-5
996,56996-91-9
997,66797-44-2
1001,926030-25-3
1010,61912-87-6
1017,51222-40-3
1025,61791-64-8
1028,177256-69-8
1042,73606-19-6
1049,149979-41-9
1061,61791-63-7
1077,51158-21-5
1090,75139-61-6
1094,161026-34-2
1110,115902-64-2
1117,23060-14-2
1119,55818-86-5
1129,1112-38-5
1136,66594-32-9
1148,71379-75-4
1149,587-98-4
1152,163515-14-8
1154,163269-30-5
1156,68783-78-8
1159,1332-65-6
1166,12616-36-3
1167,39429-71-5
1174,145607-53-0
1175,56996-99-7
1185,71212-10-7
