,test_cas
0,1071-83-6
1,2896-70-0
2,13457-18-6
3,5829-48-1
4,115326-86-8
5,50-29-3
6,2425-06-1
7,115-29-7
8,2164-07-0
9,298-04-4
10,114-07-8
11,19902-04-6
12,91-64-5
13,88-30-2
14,12125-02-9
15,7758-98-7
16,2104-64-5
17,7447-41-8
18,13826-65-8
19,111-69-3
20,206-44-0
21,72-20-8
22,2058-46-0
23,35691-65-7
24,7758-99-8
25,7733-02-0
26,7447-39-4
27,55268-74-1
28,114-26-1
29,680-31-9
30,7761-88-8
31,80-38-6
32,13410-01-0
33,151-21-3
34,759-94-4
35,8002-65-1
36,4901-51-3
37,104-40-5
38,17109-36-3
39,83-79-4
40,121-82-4
41,1314-62-1
42,188023-86-1
43,58561-66-3
44,52623-84-4
45,108-05-4
46,333-41-5
47,63231-50-5
48,87-86-5
49,10108-64-2
50,8067-55-8
51,7718-54-9
52,51-28-5
53,608-73-1
54,77-78-1
55,60-57-1
56,86-50-0
57,1982-47-4
58,52-68-6
59,72-43-5
60,39341-15-6
61,1420-04-8
62,33878-50-1
63,584-79-2
64,7440-38-2
65,7631-99-4
66,63449-41-2
67,309-00-2
68,2921-88-2
69,67526-93-6
70,77-73-6
71,78-79-5
72,64700-56-7
73,75-25-2
74,8001-35-2
75,112-42-5
76,61790-13-4
77,2634-33-5
78,8004-05-5
79,121-75-5
80,75-99-0
81,13171-21-6
82,7786-34-7
83,12789-03-6
84,108-95-2
85,7778-50-9
86,569-64-2
87,7783-06-4
88,55335-06-3
89,63-25-2
90,158062-67-0
91,1929-77-7
92,3653-48-3
93,122-03-2
94,606-20-2
95,95-57-8
96,80844-07-1
97,78-48-8
98,66594-31-8
99,56646-05-0
100,1330-20-7
101,16752-77-5
102,106-24-1
103,8003-34-7
104,56-38-2
105,52645-53-1
106,12680-48-7
107,1313-82-2
108,1397-94-0
109,1327-53-3
110,152-16-9
111,78-34-2
112,58-89-9
113,16721-80-5
114,220899-03-6
115,56425-91-3
116,60-51-5
117,13601-19-9
118,10102-06-4
119,2032-59-9
120,298-02-2
121,1194-65-6
122,299-84-3
123,554-00-7
124,8015-35-8
125,38641-94-0
126,1656-48-0
127,78-83-1
128,53469-21-9
129,5538-94-3
130,8012-95-1
131,94-80-4
132,300-76-5
133,42615-29-2
134,7440-66-6
135,2437-29-8
136,57055-38-6
137,143-33-9
138,122-14-5
139,10124-36-4
140,57213-69-1
141,88-89-1
142,51158-18-0
143,95-50-1
144,7785-87-7
145,11104-28-2
146,54593-83-8
147,53112-28-0
148,7440-50-8
149,1912-24-9
150,95-76-1
151,131-52-2
152,67-66-3
153,51235-04-2
154,13411-16-0
155,7699-43-6
156,7487-94-7
157,55635-13-7
158,87-68-3
159,181274-15-7
160,950-37-8
161,834-12-8
162,361377-29-9
163,52315-07-8
164,298-00-0
165,709-98-8
166,2702-72-9
167,121-14-2
168,81-19-6
169,15271-41-7
170,3689-24-5
171,127-18-4
172,1445-75-6
173,126-73-8
174,51630-58-1
175,69409-94-5
176,7758-09-0
177,62-73-7
178,88-06-2
179,142-28-9
180,110-82-7
181,13071-79-9
182,50-00-0
183,2008-39-1
184,7446-14-2
185,177256-67-6
186,1745-81-9
187,1333-73-9
188,239110-15-7
189,10043-35-3
190,7553-56-2
191,7440-43-9
192,127-65-1
193,57-55-6
194,1929-73-3
195,95-94-3
196,6491-02-7
197,333-20-0
198,7778-54-3
199,99-54-7
200,7447-40-7
201,7738-94-5
202,97886-45-8
203,50934-16-2
204,57-12-5
205,22431-62-5
206,55-38-9
207,68951-67-7
208,7646-85-7
209,3347-22-6
210,74665-86-4
211,10361-37-2
212,62-53-3
213,7775-09-9
214,8065-48-3
215,56-35-9
216,41198-08-7
217,5742-17-6
218,7783-28-0
219,8001-54-5
220,151-50-8
221,33245-39-5
222,106-42-3
223,481-39-0
224,7632-00-0
225,3251-23-8
226,10599-90-3
227,78-51-3
228,76-44-8
229,1330-43-4
230,10099-74-8
231,7775-11-3
232,13390-47-1
233,50723-80-3
234,68424-85-1
235,121552-61-2
236,57966-95-7
237,7783-20-2
238,93-76-5
239,141-28-6
240,115-09-3
241,57-13-6
242,2691-41-0
243,55285-14-8
244,94-74-6
245,147150-35-4
246,80-62-6
247,2275-23-2
248,76-03-9
249,7727-54-0
250,6923-22-4
251,7784-46-5
252,3096-70-6
253,71-43-2
254,150-50-5
255,7446-08-4
256,84-74-2
257,7758-95-4
258,74665-84-2
259,513-77-9
260,497-19-8
261,7773-06-0
262,7681-52-9
263,59756-60-4
264,1330-78-5
265,19398-13-1
266,7664-41-7
267,12698-87-2
268,1333-82-0
269,563-12-2
270,76-87-9
271,7782-49-2
272,67-64-1
273,1420-06-0
274,83055-99-6
275,732-11-6
276,52918-63-5
277,1563-66-2
278,39289-94-6
279,470-90-6
280,1918-02-1
281,109-77-3
282,9002-93-1
283,100473-08-3
284,619-24-9
285,62010-28-0
286,7778-39-4
287,1121-76-2
288,7722-64-7
289,6416-68-8
290,65589-70-0
291,144-55-8
292,8002-05-9
293,56996-90-8
294,7664-38-2
295,118-96-7
296,5437-45-6
297,143-50-0
298,1320-18-9
299,485-31-4
300,12797-87-4
301,4180-12-5
302,7723-14-0
303,85-00-7
304,7647-14-5
305,28249-77-6
306,107-21-1
307,28553-12-0
308,576-24-9
309,140-56-7
310,137-29-1
311,315-18-4
312,64902-72-3
313,111-76-2
314,25168-26-7
315,13718-26-8
316,27774-13-6
317,17418-58-5
318,59-50-7
319,7758-19-2
320,7601-54-9
321,42509-83-1
322,5915-41-3
323,25637-99-4
324,39331-45-8
325,172521-76-5
326,60617-06-3
327,83-59-0
328,877-43-0
329,5221-49-8
330,90-02-8
331,1468-37-7
332,576-26-1
333,13463-41-7
334,94-09-7
335,58-27-5
336,55406-53-6
337,7786-81-4
338,107-49-3
339,79-09-4
340,7439-92-1
341,29091-05-2
342,1113-02-6
343,60-35-5
344,5258-64-0
345,534-52-1
346,7487-88-9
347,26225-79-6
348,140-41-0
349,2243-27-8
350,1314-64-3
351,121-54-0
352,115-86-6
353,120-83-2
354,22936-86-3
355,1334-77-6
356,111-66-0
357,2212-67-1
358,16068-46-5
359,120928-09-8
360,13593-03-8
361,15972-60-8
362,67167-01-5
363,96638-72-1
364,10102-18-8
365,260-94-6
366,7440-47-3
367,2893-78-9
368,131807-57-3
369,21087-64-9
370,71751-41-2
371,94-75-7
372,2303-17-5
373,32534-95-5
374,7779-88-6
375,79-34-5
376,21609-90-5
377,4412-91-3
378,108-88-3
379,117-81-7
380,9002-92-0
381,330-54-1
382,15067-52-4
383,55600-34-5
384,13464-37-4
385,100-66-3
386,13194-48-4
387,140-66-9
388,141-78-6
389,22248-79-9
390,10043-01-3
391,4685-14-7
392,1461-22-9
393,8027-00-7
394,72574-95-9
395,10453-86-8
396,108-24-7
397,51338-27-3
398,400852-66-6
399,408-27-5
400,92-52-4
401,75-35-4
402,67167-02-6
403,12672-29-6
404,30560-19-1
405,7631-90-5
406,71-55-6
407,2164-17-2
408,1344-67-8
409,2447-79-2
410,1582-09-8
411,90-03-9
412,17439-94-0
413,12122-67-7
414,7772-99-8
415,100-52-7
416,88671-89-0
417,62732-91-6
418,78-96-6
419,4501-00-2
420,105-53-3
421,106-46-7
422,99-08-1
423,95-87-4
424,128606-48-4
425,57-14-7
426,9004-81-3
427,13121-70-5
428,6753-47-5
429,3064-70-8
430,302-01-2
431,95-51-2
432,95-47-6
433,578-46-1
434,95-65-8
435,110-88-3
436,108-67-8
437,109-27-3
438,61711-25-9
439,1464-42-2
440,1861-32-1
441,19937-59-8
442,111-15-9
443,84-66-2
444,91-20-3
445,12002-48-1
446,106-47-8
447,91-23-6
448,95751-97-6
449,17804-35-2
450,7758-89-6
451,107-02-8
452,597-64-8
453,3648-20-2
454,7722-84-1
455,1678-91-7
456,67487-87-0
457,25167-83-3
458,15773-35-0
459,58561-88-9
460,2051-60-7
461,100-47-0
462,6515-38-4
463,54-64-8
464,94-82-6
465,57571-05-8
466,57-74-9
467,108-90-7
468,2597-03-7
469,13517-11-8
470,42087-80-9
471,79-19-6
472,101-20-2
473,33629-47-9
474,22224-92-6
475,79-01-6
476,13181-17-4
477,3844-45-9
478,80-46-6
479,108-18-9
480,7803-55-6
481,75-05-8
482,74115-24-5
483,24579-73-5
484,10031-82-0
485,120068-37-3
486,8002-13-9
487,8003-31-4
488,7696-12-0
489,156410-04-7
490,79-06-1
491,2961-62-8
492,1918-00-9
493,7440-02-0
494,128-04-1
495,7647-15-6
496,122-88-3
497,1401-55-4
498,94-11-1
499,2198-58-5
500,119-06-2
501,75-07-0
502,573-58-0
503,105-55-5
504,655-76-5
505,109-97-7
506,8050-84-8
507,26062-79-3
508,39148-24-8
509,79-94-7
510,26761-40-0
511,465-73-6
512,118-74-1
513,1191-50-0
514,608-71-9
515,35367-38-5
516,5673-07-4
517,140-89-6
518,68585-47-7
519,7704-34-9
520,1918-16-7
521,20427-59-2
522,14816-18-3
523,67375-30-8
524,31557-34-3
525,13746-66-2
526,108-87-2
527,2439-01-2
528,56-23-5
529,133-06-2
530,7700-17-6
531,7440-39-3
532,140-90-9
533,117718-60-2
534,115-32-2
535,69-72-7
536,4404-43-7
537,105-67-9
538,14484-64-1
539,14644-61-2
540,1610-18-0
541,1600-27-7
542,151-56-4
543,534-22-5
544,25954-13-6
545,947-02-4
546,121-33-5
547,77-47-4
548,8030-30-6
549,7790-92-3
550,999-81-5
551,85-68-7
552,287967-89-9
553,66230-04-4
554,127-08-2
555,119446-68-3
556,106-89-8
557,61791-26-2
558,2212-59-1
559,51-03-6
560,319-84-6
561,95-95-4
562,132-64-9
563,11118-72-2
564,2032-65-7
565,7789-09-5
566,110488-70-5
567,1330-69-4
568,119-38-0
569,7173-51-5
570,98-55-5
571,2163-79-3
572,590-28-3
573,1570-65-6
574,11121-48-5
575,7757-82-6
576,67-72-1
577,4342-36-3
578,129630-19-9
579,150-68-5
580,37223-73-7
581,2556-42-5
582,2235-25-8
583,2439-10-3
584,3383-96-8
585,583-60-8
586,7439-97-6
587,5567-15-7
588,68131-39-5
589,99-65-0
590,116580-64-4
591,3698-83-7
592,14214-89-2
593,142-87-0
594,7787-47-5
595,126-72-7
596,97-53-0
597,25155-30-0
598,111-55-7
599,7789-00-6
600,77-75-8
601,2310-17-0
602,1399-80-0
603,201305-50-2
604,108-39-4
605,61-73-4
606,111-87-5
607,93-72-1
608,3084-62-6
609,66594-34-1
610,10325-94-7
611,7745-89-3
612,22781-23-3
613,7440-22-4
614,122-34-9
615,95312-94-0
616,23564-05-8
617,3772-94-9
618,543-90-8
619,141-43-5
620,137-40-6
621,110-91-8
622,30388-01-3
623,41814-78-2
624,288-88-0
625,51218-45-2
626,68333-79-9
627,1897-45-6
628,542-75-6
629,33125-97-2
630,84852-15-3
631,1910-42-5
632,148-79-8
633,11097-69-1
634,8067-49-0
635,12772-06-4
636,9006-42-2
637,1319-77-3
638,36734-19-7
639,64047-88-7
640,137-26-8
641,2540-82-1
642,368-77-4
643,23210-56-2
644,60168-88-9
645,87-90-1
646,133855-98-8
647,84-75-3
648,7782-86-7
649,140-93-2
650,65996-94-3
651,93-91-4
652,100-42-5
653,25474-41-3
654,16245-79-7
655,56-72-4
656,39278-82-5
657,5395-50-6
658,60207-90-1
659,50-28-2
660,10042-84-9
661,3572-06-3
662,58-90-2
663,272451-65-7
664,1689-99-2
665,2117-11-5
666,80-05-7
667,35597-43-4
668,5903-13-9
669,5103-71-9
670,56902-08-0
671,112-27-6
672,143-08-8
673,7782-50-5
674,88-85-7
675,3825-26-1
676,7697-37-2
677,81335-77-5
678,120-36-5
679,1740-19-8
680,5827-05-4
681,39403-84-4
682,122-42-9
683,111-42-2
684,131983-72-7
685,1014-70-6
686,12407-86-2
687,52756-25-9
688,10028-15-6
689,886-50-0
690,556-67-2
691,1120-01-0
692,53988-71-9
693,71-23-8
694,2545-59-7
695,12642-13-6
696,110-83-8
697,37353-63-2
698,115-96-8
699,82-68-8
700,371-40-4
701,21564-17-0
702,297-97-2
703,129-67-9
704,98-54-4
705,27176-87-0
706,13463-67-7
707,589-16-2
708,33820-53-0
709,95-53-4
710,55-63-0
711,26087-47-8
712,107-05-1
713,150-19-6
714,64-19-7
715,533-74-4
716,2300-66-5
717,107534-96-3
718,33813-20-6
719,523-44-4
720,3765-57-9
721,27554-26-3
722,72-54-8
723,10343-61-0
724,108-10-1
725,7773-01-5
726,99-55-8
727,108066-01-9
728,66330-88-9
729,108-62-3
730,133-07-3
731,6484-52-2
732,12427-38-2
733,10141-05-6
734,1836-77-7
735,60842-48-0
736,66441-23-4
737,10049-04-4
738,86209-51-0
739,213464-77-8
740,1929-82-4
741,71-36-3
742,821-55-6
743,76930-58-0
744,61-82-5
745,7786-30-3
746,36362-09-1
747,29245-51-0
748,2008-41-5
749,66841-25-6
750,23184-66-9
751,5064-31-3
752,7778-43-0
753,7440-48-4
754,128-58-5
755,52508-35-7
756,19666-30-9
757,70-38-2
758,24980-59-4
759,4460-86-0
760,110-40-7
761,75139-62-7
762,630-20-6
763,149-30-4
764,107-07-3
765,56896-68-5
766,37301-44-3
767,658066-35-4
768,101-05-3
769,142-59-6
770,2528-38-3
771,120-18-3
772,1773-89-3
773,1338-24-5
774,3351-05-1
775,54952-08-8
776,23505-21-7
777,7779-27-3
778,15545-48-9
779,100-41-4
780,89-98-5
781,62-38-4
782,83-89-6
783,68694-11-1
784,577-11-7
785,106-49-0
786,26635-92-7
787,60-00-4
788,311-45-5
789,19826-60-9
790,95-75-0
791,122836-35-5
792,4719-04-4
793,41096-46-2
794,23103-98-2
795,74871-33-3
796,581-64-6
797,123-54-6
798,15245-44-0
799,33213-65-9
800,10141-00-1
801,7440-33-7
802,42576-02-3
803,1317-39-1
804,106-48-9
805,54-11-5
806,17700-09-3
807,80-33-1
808,4684-94-0
809,2455-24-5
810,640-15-3
811,85264-33-1
812,76703-62-3
813,58798-67-7
814,91-65-6
815,62924-70-3
816,39515-41-8
817,107-06-2
818,4824-78-6
819,7446-18-6
820,99-52-5
821,95465-99-9
822,153719-23-4
823,37853-59-1
824,116-06-3
825,117-80-6
826,15922-78-8
827,86-57-7
828,583-78-8
829,8046-53-5
830,75022-22-9
831,10043-52-4
832,109-06-8
833,500008-45-7
834,8018-01-7
835,101-21-3
836,4151-50-2
837,71706-07-5
838,319-85-7
839,66419-38-3
840,107-13-1
841,138-86-3
842,120-32-1
843,53826-12-3
844,111-40-0
845,1634-78-2
846,110-00-9
847,83-32-9
848,1983-10-4
849,123343-16-8
850,95-48-7
851,56-81-5
852,33089-61-1
853,77182-82-2
854,29232-93-7
855,86-40-8
856,79538-32-2
857,98-73-7
858,518-47-8
859,11100-14-4
860,299-86-5
861,645-56-7
862,900-95-8
863,77-58-7
864,4180-23-8
865,124-40-3
866,14215-52-2
867,53516-76-0
868,944-22-9
869,22212-55-1
870,54847-85-7
871,11067-81-5
872,1096-84-0
873,464-49-3
874,21725-46-2
875,51092-74-1
876,135158-54-2
877,203313-25-1
878,624-92-0
879,957-51-7
880,82-71-3
881,94-96-2
882,608-93-5
883,38638-05-0
884,142-71-2
885,69377-81-7
886,121-87-9
887,13306-69-9
888,244094-39-1
889,23504-07-6
890,8066-11-3
891,123-88-6
892,93106-60-6
893,55566-30-8
894,7783-00-8
895,307-35-7
896,37341-07-4
897,9036-19-5
898,2437-79-8
899,1303-96-4
900,1461-15-0
901,81-81-2
902,25267-15-6
903,557-34-6
904,17599-81-4
905,133-90-4
906,20856-57-9
907,104653-34-1
908,10124-65-9
909,639-58-7
910,21548-73-2
911,12135-76-1
912,70896-08-1
913,107-15-3
914,319-89-1
915,3400-09-7
916,1761-61-1
917,7758-94-3
918,2039-46-5
919,2764-72-9
920,19406-51-0
921,7439-96-5
922,72490-01-8
923,88-99-3
924,96300-95-7
925,100-02-7
926,10588-01-9
927,7681-49-4
928,813-78-5
929,3486-35-9
930,23950-58-5
931,81510-83-0
932,40596-80-3
933,631-64-1
934,29081-56-9
935,98-01-1
936,15467-20-6
937,81406-37-3
938,78-97-7
939,11067-82-6
940,1134-23-2
941,75-01-4
942,1918-18-9
943,287962-26-9
944,70630-17-0
945,78-00-2
946,24151-93-7
947,136-85-6
948,29118-87-4
949,18472-87-2
950,72027-03-3
951,123-91-1
952,64-17-5
953,68392-35-8
954,1222-05-5
955,2795-39-3
956,19381-50-1
957,19480-43-4
958,39638-32-9
959,134-30-5
960,1596-84-5
961,77458-01-6
962,111-47-7
963,120068-36-2
964,96489-71-3
965,28801-69-6
966,88-72-2
967,91465-08-6
968,10025-73-7
969,70343-06-5
970,40465-66-5
971,43121-43-3
972,19549-98-5
973,58561-78-7
974,27344-41-8
975,12774-30-0
976,63148-69-6
977,327-98-0
978,540-72-7
979,111-26-2
980,88-73-3
981,443-48-1
982,145-73-3
983,9007-39-0
984,98-95-3
985,1787-61-7
986,68359-37-5
987,53780-34-0
988,65071-95-6
989,1757-18-2
990,21689-84-9
991,104-88-1
992,62852-89-5
993,555-89-5
994,67-56-1
995,31218-83-4
996,56996-91-9
997,66797-44-2
998,13510-49-1
999,552-41-0
1000,99-61-6
1001,926030-25-3
1002,1482-15-1
1003,3214-47-9
1004,7631-95-0
1005,11141-17-6
1006,19750-95-9
1007,77501-63-4
1008,28777-70-0
1009,89-61-2
1010,61912-87-6
1011,2216-51-5
1012,90-15-3
1013,446-72-0
1014,68959-20-6
1015,2312-35-8
1016,28343-61-5
1017,51222-40-3
1018,96300-97-9
1019,500-28-7
1020,131-92-0
1021,66-25-1
1022,29091-21-2
1023,99-30-9
1024,1338-02-9
1025,61791-64-8
1026,7783-36-0
1027,2163-80-6
1028,177256-69-8
1029,330-95-0
1030,107-18-6
1031,608-31-1
1032,93-78-7
1033,131341-86-1
1034,63821-86-3
1035,9016-45-9
1036,13721-39-6
1037,123-42-2
1038,1836-75-5
1039,1204-21-3
1040,13389-42-9
1041,113-48-4
1042,73606-19-6
1043,86-74-8
1044,1332-40-7
1045,10112-91-1
1046,2234-13-1
1047,18181-70-9
1048,11096-82-5
1049,149979-41-9
1050,27519-02-4
1051,1928-43-4
1052,35065-27-1
1053,128639-02-1
1054,85-69-8
1055,7398-69-8
1056,554-13-2
1057,91-22-5
1058,78-93-3
1059,134-62-3
1060,12124-97-9
1061,61791-63-7
1062,3766-81-2
1063,928-97-2
1064,122-99-6
1065,88-68-6
1066,129558-76-5
1067,14380-61-1
1068,52769-67-2
1069,602-01-7
1070,626-17-5
1071,2610-11-9
1072,53404-47-0
1073,56348-39-1
1074,97-17-6
1075,25322-69-4
1076,38260-54-7
1077,51158-21-5
1078,7646-79-9
1079,69500-29-4
1080,110-86-1
1081,302-95-4
1082,120-12-7
1083,53780-36-2
1084,56296-78-7
1085,108-43-0
1086,67-36-7
1087,786-19-6
1088,134-20-3
1089,149-31-5
1090,75139-61-6
1091,35400-43-2
1092,3337-71-1
1093,120-82-1
1094,161026-34-2
1095,10102-44-0
1096,598-74-3
1097,52-51-7
1098,55219-65-3
1099,7420-89-5
1100,111-77-3
1101,69806-50-4
1102,541-73-1
1103,52303-69-2
1104,106-51-4
1105,78-11-5
1106,301-04-2
1107,55283-68-6
1108,59587-38-1
1109,115-20-8
1110,115902-64-2
1111,78-59-1
1112,161050-58-4
1113,12674-11-2
1114,2832-40-8
1115,1111-67-7
1116,59417-72-0
1117,23060-14-2
1118,9005-67-8
1119,55818-86-5
1120,886-86-2
1121,6120-10-1
1122,13701-59-2
1123,15662-33-6
1124,973-21-7
1125,7757-79-1
1126,141-66-2
1127,113158-40-0
1128,79-00-5
1129,1112-38-5
1130,1066-30-4
1131,110-97-4
1132,622-45-7
1133,2317-24-0
1134,1066-45-1
1135,123-33-1
1136,66594-32-9
1137,31089-39-1
1138,953-17-3
1139,5137-55-3
1140,634-83-3
1141,1837-57-6
1142,5598-13-0
1143,552-89-6
1144,7439-98-7
1145,1192-89-8
1146,314-40-9
1147,19044-88-3
1148,71379-75-4
1149,587-98-4
1150,16903-35-8
1151,634-90-2
1152,163515-14-8
1153,57-24-9
1154,163269-30-5
1155,120-80-9
1156,68783-78-8
1157,1306-23-6
1158,75-09-2
1159,1332-65-6
1160,5736-15-2
1161,56073-10-0
1162,3051-11-4
1163,1310-53-8
1164,104040-78-0
1165,25013-16-5
1166,12616-36-3
1167,39429-71-5
1168,64036-43-7
1169,140-57-8
1170,124-02-7
1171,504-24-5
1172,71561-11-0
1173,120-92-3
1174,145607-53-0
1175,56996-99-7
1176,78-27-3
1177,10043-67-1
1178,4080-31-3
1179,22936-75-0
1180,94-41-7
1181,112-56-1
1182,128-37-0
1183,297-78-9
1184,67-68-5
1185,71212-10-7
1186,5221-53-4
1187,61949-76-6
1188,90-13-1
1189,82657-04-3
1190,108-68-9
1191,592-41-6
1192,108-31-6
1193,100646-51-3
1194,96-09-3
1195,106-93-4
1196,7783-35-9
1197,96-91-3
1198,87-17-2
1199,3060-89-7
1200,15096-52-3
1201,588-59-0
1202,10265-92-6
1203,15307-79-6
1204,14762-38-0
1205,1314-13-2
1206,138261-41-3
1207,591-35-5
1208,4655-34-9
1209,69806-34-4
1210,841-06-5
1211,106-37-6
1212,13067-93-1
1213,13360-45-7
1214,15673-00-4
1215,75-21-8
1216,546-71-4
1217,29235-71-0
1218,65431-29-0
1219,4199-10-4
1220,7789-43-7
1221,71531-34-5
1222,71-41-0
1223,14025-15-1
1224,79-46-9
1225,1570-76-9
1226,53404-31-2
1227,16118-49-3
1228,12040-57-2
1229,109-87-5
1230,88-75-5
1231,68-12-2
1232,118-79-6
1233,76-06-2
1234,100-51-6
1235,81334-34-1
1236,109-99-9
1237,39450-05-0
1238,8003-42-7
1239,74-90-8
1240,7446-07-3
1241,1484-13-5
1242,1126-46-1
1243,75-98-9
1244,1570-64-5
1245,330-55-2
1246,10124-37-5
1247,107-47-1
1248,101-84-8
1249,962-58-3
1250,116-29-0
1251,109-07-9
1252,935-95-5
1253,1317-36-8
1254,563-68-8
1255,66215-27-8
1256,335-67-1
1257,554-84-7
1258,7720-78-7
1259,118-61-6
1260,8004-87-3
1261,29761-21-5
1262,63449-39-8
1263,75-15-0
1264,123312-89-0
1265,137-30-4
1266,34364-42-6
1267,1689-84-5
1268,76578-14-8
1269,22296-58-8
1270,2312-76-7
1271,4419-22-1
1272,2545-60-0
1273,603-85-0
1274,13171-00-1
1275,55814-41-0
1276,3179-90-6
1277,64742-47-8
1278,60-29-7
1279,39300-45-3
1280,86479-06-3
1281,13684-63-4
1282,13472-45-2
1283,135-19-3
1284,13548-38-4
1285,42874-03-3
1286,4170-30-3
1287,124-63-0
1288,10196-04-0
1289,15263-52-2
1290,543-21-5
1291,83657-22-1
1292,482-89-3
1293,25306-75-6
1294,12002-03-8
1295,132-27-4
1296,139-40-2
1297,1326-82-5
1298,173159-57-4
1299,2150-47-2
1300,615-67-8
1301,75-96-7
1302,150-78-7
1303,1929-88-0
1304,172520-99-9
1305,70124-77-5
1306,114369-43-6
1307,1432-14-0
1308,90-43-7
1309,1746-01-6
1310,13772-16-2
1311,301-12-2
1312,99-99-0
1313,64359-81-5
1314,52627-73-3
1315,5377-20-8
1316,107-22-2
1317,609-23-4
1318,7778-18-9
1319,147-24-0
1320,1344-73-6
1321,79617-96-2
1322,65431-33-6
1323,112-12-9
1324,105-37-3
1325,13943-58-3
1326,7778-80-5
1327,10380-28-6
1328,92-04-6
1329,87674-68-8
1330,85-70-1
1331,62046-37-1
1332,13356-08-6
1333,7440-41-7
1334,87-66-1
1335,127-79-7
1336,13909-73-4
1337,4680-78-8
1338,10028-22-5
1339,15281-91-1
1340,28434-00-6
1341,122548-33-8
1342,117932-73-7
1343,148-53-8
1344,14437-17-3
1345,7664-93-9
1346,53404-74-3
1347,17372-87-1
1348,873-63-2
1349,8022-00-2
1350,96-18-4
1351,741-58-2
1352,245367-77-5
1353,101-27-9
1354,298-07-7
1355,100-01-6
1356,16485-47-5
1357,98-86-2
1358,14124-68-6
1359,57-68-1
1360,131860-33-8
1361,1918-13-4
1362,70-30-4
1363,110-19-0
1364,66332-96-5
1365,7250-67-1
1366,12002-53-8
1367,10350-81-9
1368,56108-12-4
1369,1336-21-6
1370,7632-05-5
1371,14959-86-5
1372,107-45-9
1373,25311-71-1
1374,7287-19-6
1375,56207-39-7
1376,1951-25-3
1377,141517-21-7
1378,693-16-3
1379,13138-45-9
1380,3204-27-1
1381,77466-83-2
1382,3380-34-5
1383,100-25-4
1384,12136-45-7
1385,136-25-4
1386,858956-08-8
1387,83588-43-6
1388,87820-88-0
1389,1305-62-0
1390,34128-01-3
1391,86-30-6
1392,56996-37-3
1393,5234-68-4
1394,7747-35-5
1395,142-62-1
1396,6369-97-7
1397,100-61-8
1398,94-81-5
1399,124-11-8
1400,2051-79-8
1401,6317-18-6
1402,83-26-1
1403,78-99-9
1404,95266-40-3
