,test_cas,smiles,pubchem2d
0,1071-83-6,OC(=O)CNC[P](O)(O)=O,11000000010000100011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000001000000100000000100000100000000000000000000000000000110000011000000000000100000000000000100000000010110000000000001000010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000010000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,2896-70-0,CC1(C)CC(=O)CC(C)(C)N1[O],11100000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000001000000100000000000000000000000110010001100100000011000000000000000000000100000000000000010000100000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000011010000000001000000000000000000001000000000000000000000000000000000000000000100000000000000000000001000100001000000001000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,13457-18-6,CCOC(=O)c1cn2nc(O[P](=S)(OCC)OCC)cc2nc1C,11100000011100110011100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011110000000000000000000000001111000000000000010000000000000100000000000000000110000001000111000011001111100000110001111111011110010011110000010000001010100010000101010100000001100110110111101110110110000000000100100001000010000101011001101011010001010100000000101010101100000100001001111100110110001011000100000000010111011011000010000001110100011001000000001101001010110001000010011100000100000001010110000000110000111100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,5829-48-1,CCCCCCCCC(Cl)C(Cl)CCCCCCCC(O)=O,11110000011110000011000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000010000000000000100000000000000000000000100000000011100000001000000001000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000001000000000000000000000000000010010000000010000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,50-29-3,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,11000000011100000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001100000000010000000000000000000000000000000000000110100000010100000000001100010100000001100000000000010000000000000000000000000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000000010100000000000010001000100000000000000000000000001010001000000010000010000000100010100000010001001100010000100000000010000000000000001000001000000000000000000010001000100000000111000000001000000011000000000011101000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,2425-06-1,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,11000000011100100011000000000000010001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001111000000110000000000100000000000000000000000000110100000011100000011100000011000000000000000000000000000010000000000000000000000000100010000000000000100001010100100001000000000000000000000000000000000000001000000000000000000000000010000000100001000001000000000000000000001000000000000000000000010010000000001000000100000000000001000000000000000000000000001000010000100000100010000000000000000011000111010000000000000000000011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,115-29-7,ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,10000000011100000011000000000000010001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000010000000000000000000000000001000000000000000000000000000000000010010000000000000000000000000000000100100000000000000000000000000000001101000000010000000000000000000000000000000000000110100000010101000001000000010000010000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000100000000000000000000000000000001000000000000000000000000000000000100001000000000000000000001000001000000000000000000000000010000000010000000000000000000000000000000000000000000001001000000000000000000010000000000000000011110000001100000000110000000011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000100100010000000000000100
7,2164-07-0,[K+].[K+].[O-]C(=O)C1C2CCC(O2)C1C([O-])=O,11000000011100000011100000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100010010000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000110100010100101000001000000000000010000000000000100000000000000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010110000000000000000000000000000000100000000000000000000001010010000000000000000000000000000000000001110010111100100010110000100011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000110000000000000000000000000000000000000000000000000000000000000
8,298-04-4,CCO[P](=S)(OCC)SCCSCC,11100000011100000011000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000100000000000000000000100000000000000000000000000000101001001100000000000010100000100000000000000000000000000000000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,114-07-8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,11110000011111100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000110101111100111100011000000000000111000000100000100000000011000000000000011000000000000010000000000010000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000100110001000000010110000000001000000000000000001001100100000000000000000001110010000000000000000101110000000000000001110010101110110011111100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
