"","test_cas","smiles"
"1","1071-83-6","OC(=O)CNC[P](O)(O)=O"
"2","2896-70-0","CC1(C)CC(=O)CC(C)(C)N1[O]"
"3","13457-18-6","CCOC(=O)c1cn2nc(O[P](=S)(OCC)OCC)cc2nc1C"
"4","5829-48-1","CCCCCCCCC(Cl)C(Cl)CCCCCCCC(O)=O"
"5","115326-86-8",NA
"6","50-29-3","Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl"
"7","2425-06-1","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O"
"8","115-29-7","ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl"
"9","2164-07-0","[K+].[K+].[O-]C(=O)C1C2CCC(O2)C1C([O-])=O"
"10","298-04-4","CCO[P](=S)(OCC)SCCSCC"
"11","114-07-8","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"
"12","19902-04-6","CC(C)=CCC\C(C)=C\CN(CCO)C/C=C(C)/CCC=C(C)C"
"13","91-64-5","O=C1Oc2ccccc2C=C1"
"14","88-30-2","Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O"
"15","12125-02-9","[NH4+].[Cl-]"
"16","7758-98-7","[Cu++].[O-][S]([O-])(=O)=O"
"17","2104-64-5","CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2"
"18","7447-41-8","[Li+].[Cl-]"
"19","13826-65-8","[Pb++].[O-]N=O.[O-]N=O"
"20","111-69-3","N#CCCCCC#N"
"21","206-44-0","c1ccc2c(c1)c3cccc4cccc2c34"
"22","72-20-8","ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl"
"23","2058-46-0","[Cl-].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+]"
"24","35691-65-7","BrCC(Br)(CCC#N)C#N"
"25","7758-99-8","O.O.O.O.O.[Cu++].[O-][S]([O-])(=O)=O"
"26","7733-02-0","[Zn++].[O-][S]([O-])(=O)=O"
"27","7447-39-4","[Cl-].[Cl-].[Cu++]"
"28","55268-74-1","O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4"
"29","114-26-1","CNC(=O)Oc1ccccc1OC(C)C"
"30","680-31-9","CN(C)[P](=O)(N(C)C)N(C)C"
"31","7761-88-8","[Ag+].[O-][N+]([O-])=O"
"32","80-38-6","Clc1ccc(O[S](=O)(=O)c2ccccc2)cc1"
"33","13410-01-0","[Na+].[Na+].[O-][Se]([O-])(=O)=O"
"34","151-21-3","[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O"
"35","759-94-4","CCCN(CCC)C(=O)SCC"
"36","8002-65-1",NA
"37","4901-51-3","Oc1cc(Cl)c(Cl)c(Cl)c1Cl"
"38","104-40-5","CCCCCCCCCc1ccc(O)cc1"
"39","17109-36-3","Cc1c(Cl)cc(c(O)c1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O)C(C)(C)C"
"40","83-79-4","COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C"
"41","121-82-4","[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O"
"42","1314-62-1","O=[V](=O)O[V](=O)=O"
"43","188023-86-1",NA
"44","58561-66-3",NA
"45","52623-84-4","[Na+].[Na+].[O-]B=O.[O-][Cl](=O)=O"
"46","108-05-4","CC(=O)OC=C"
"47","333-41-5","CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C"
