,class,tax_order,family,genus,gen_spec
0,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,Pimephales promelas
1,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
2,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis
3,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
12,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,Agonus cataphractus
13,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,Rasbora heteromorpha
15,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis
16,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus sp.
17,Actinopterygii,Cypriniformes,Cyprinidae,Semotilus,Semotilus atromaculatus
18,Actinopterygii,Perciformes,Sparidae,Lagodon,Lagodon rhomboides
19,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus punctatus
20,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio
21,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha
22,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch
24,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus
27,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata
29,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis cyanellus
31,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus sp.
32,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii
35,Actinopterygii,Perciformes,Percidae,Perca,Perca flavescens
39,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus rutilus
40,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,Tinca tinca
41,Actinopterygii,Perciformes,Percidae,Perca,Perca fluviatilis
42,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus leuciscus
46,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta
54,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus heteroclitus
56,Actinopterygii,Perciformes,Moronidae,Morone,Morone saxatilis
59,Actinopterygii,Perciformes,Percidae,Percina,Percina caprodes
61,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius
62,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis humilis
65,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar
66,Actinopterygii,Atheriniformes,Atherinidae,Labidesthes,Labidesthes sicculus
68,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil cephalus
70,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia latipinna
77,Actinopterygii,Perciformes,Labridae,Thalassoma,Thalassoma bifasciatum
79,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush
80,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,Petromyzon marinus
82,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon variegatus
84,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus majalis
85,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus salmoides
86,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka
90,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus ticto
91,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,Rasbora trilineata
92,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis microlophus
93,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
96,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,Pomoxis annularis
97,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Jordanella,Jordanella floridae
101,Actinopterygii,Esociformes,Umbridae,Umbra,Umbra pygmaea
102,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus dolomieu
103,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis hudsonius
105,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Oryzias latipes
106,Actinopterygii,Perciformes,Sciaenidae,Leiostomus,Leiostomus xanthurus
108,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,Notemigonus crysoleucas
109,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias batrachus
119,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,Ptychocheilus oregonensis
120,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus diaphanus
121,Actinopterygii,Perciformes,Moronidae,Morone,Morone americana
122,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
123,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata
124,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia sp.
125,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes platessa
126,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus
127,Actinopterygii,Esociformes,Esocidae,Esox,Esox lucius
128,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda limanda
129,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas
130,Actinopterygii,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus
131,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius
132,Actinopterygii,Perciformes,Carangidae,Trachinotus,Trachinotus carolinus
133,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia leucosticta
134,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia rendalli
135,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma
136,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata
