,class,tax_order,family,genus,species,gen_spec
0,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,Cyprinus carpio
1,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,barbus,Barbus barbus
2,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,Oncorhynchus mykiss
3,Actinopterygii,Atheriniformes,Atherinidae,Atherina,hepsetus,Atherina hepsetus
4,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,latipes,Oryzias latipes
5,Actinopterygii,Cypriniformes,Cyprinidae,Gibelion,catla,Gibelion catla
6,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,punctatus,Ictalurus punctatus
7,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,Lepomis macrochirus
8,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,Morone saxatilis
9,Actinopterygii,Perciformes,Percidae,Sander,vitreus,Sander vitreus
10,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,reticulata,Poecilia reticulata
11,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,Pimephales promelas
12,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus,Lepomis cyanellus
13,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,Carassius auratus
14,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,heteromorpha,Rasbora heteromorpha
15,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,heteroclitus,Fundulus heteroclitus
16,Actinopterygii,Perciformes,Serranidae,Epinephelus,sp.,Epinephelus sp.
17,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,lucius,Ptychocheilus lucius
18,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,fusca,Capoeta fusca
19,Actinopterygii,Cypriniformes,Cyprinidae,Esomus,danricus,Esomus danricus
20,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,olivaceus,Paralichthys olivaceus
21,Actinopterygii,Cypriniformes,Catostomidae,Xyrauchen,texanus,Xyrauchen texanus
22,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,nigrofasciatum,Cichlasoma nigrofasciatum
23,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,namaycush,Salvelinus namaycush
24,Actinopterygii,Cypriniformes,Cyprinidae,Cirrhinus,mrigala,Cirrhinus mrigala
25,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,Oncorhynchus tshawytscha
26,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,Salmo trutta
27,Actinopterygii,Cypriniformes,Cyprinidae,Danio,rerio,Danio rerio
28,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,bovinus,Cyprinodon bovinus
29,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Oncorhynchus kisutch
30,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,variegatus,Cyprinodon variegatus
31,Actinopterygii,Siluriformes,Clariidae,Clarias,batrachus,Clarias batrachus
32,Actinopterygii,Atheriniformes,Atherinidae,Menidia,menidia,Menidia menidia
33,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,Salvelinus fontinalis
34,Actinopterygii,Perciformes,Percidae,Perca,flavescens,Perca flavescens
35,Actinopterygii,Perciformes,Sparidae,Lithognathus,mormyrus,Lithognathus mormyrus
36,Actinopterygii,Perciformes,Labridae,Thalassoma,bifasciatum,Thalassoma bifasciatum
37,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,keta,Oncorhynchus keta
38,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rohita,Labeo rohita
39,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,caspicus,Rutilus caspicus
40,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,alburnus,Alburnus alburnus
41,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,Lepomis gibbosus
42,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,Gambusia affinis
43,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,flesus,Platichthys flesus
44,Actinopterygii,Cypriniformes,Cobitidae,Lepidocephalichthys,thermalis,Lepidocephalichthys thermalis
45,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus,Petromyzon marinus
46,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,idus,Leuciscus idus
47,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,Clarias gariepinus
48,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,Acipenser brevirostrum
49,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,japonica,Anguilla japonica
50,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Salmo salar
51,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gilae,Oncorhynchus gilae
52,Actinopterygii,Cypriniformes,Cyprinidae,Tanichthys,albonubes,Tanichthys albonubes
53,Actinopterygii,Perciformes,Osphronemidae,Colisa,fasciata,Colisa fasciata
54,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,Gasterosteus aculeatus
55,Actinopterygii,Perciformes,Channidae,Channa,orientalis,Channa orientalis
56,Actinopterygii,Siluriformes,Pangasiidae,Pangasius,hypophthalmus,Pangasius hypophthalmus
57,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,idella,Ctenopharyngodon idella
58,Actinopterygii,Cypriniformes,Cyprinidae,Tribolodon,hakonensis,Tribolodon hakonensis
59,Actinopterygii,Pleuronectiformes,Scophthalmidae,Psetta,maxima,Psetta maxima
60,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,erythrophthalmus,Scardinius erythrophthalmus
61,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu,Micropterus dolomieu
62,Actinopterygii,Perciformes,Moronidae,Morone,americana,Morone americana
63,Actinopterygii,Esociformes,Esocidae,Esox,lucius,Esox lucius
64,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,kutum,Rutilus kutum
65,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,moriokae,Acheilognathus moriokae
66,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,Anguilla anguilla
67,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,chanos,Chanos chanos
68,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,latipinna,Poecilia latipinna
69,Actinopterygii,Perciformes,Percidae,Perca,fluviatilis,Perca fluviatilis
70,Actinopterygii,Perciformes,Sciaenidae,Leiostomus,xanthurus,Leiostomus xanthurus
71,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,carassius,Carassius carassius
72,Actinopterygii,Perciformes,Nototheniidae,Pseudaphritis,urvillii,Pseudaphritis urvillii
73,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,daniconius,Rasbora daniconius
74,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,Oncorhynchus clarkii
75,Actinopterygii,Cypriniformes,Cyprinidae,Gila,elegans,Gila elegans
76,Actinopterygii,Atheriniformes,Atherinidae,Menidia,beryllina,Menidia beryllina
77,Actinopterygii,Siluriformes,Heteropneustidae,Heteropneustes,fossilis,Heteropneustes fossilis
78,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Jordanella,floridae,Jordanella floridae
79,Actinopterygii,Perciformes,Teraponidae,Terapon,jarbua,Terapon jarbua
80,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus,platorynchus,Scaphirhynchus platorynchus
