,train_acc,test_acc,train_rmse,test_rmse
5,0.8946402979077341,0.8886914748764605,0.3245713431548708,0.33352567633935254
8,0.919590252245517,0.9007562815223544,0.2835525900606489,0.3149554998263603
12,0.9576754151443915,0.9049817161265418,0.20570708232927495,0.3082288086354784
16,0.9888941406508343,0.9053156056333153,0.10530152154270844,0.30766005336722513
20,0.9983181355541166,0.9031470082767694,0.04094827178886701,0.31118662839243244
24,0.9993050130790415,0.9028134123875386,0.026324685346541636,0.31174115498446503
28,0.9993050130790415,0.9034806814337747,0.026324685346541636,0.31066116311814734
32,0.9993050130790415,0.9026466221697007,0.026324685346541636,0.31200372972215973
36,0.9993050130790415,0.903591792493374,0.026324685346541636,0.31048628493864616
40,0.9993050130790415,0.9028690451851127,0.026324685346541636,0.3116340651118926
