,train_acc,test_acc,train_rmse,test_rmse,sample_rate,nbins_cats,nbins,min_split_improvement,min_rows,max_depth,histogram_type,col_sample_rate_per_tree
mod0,0.7940064570298803,0.7102744041379675,0.6360123514422751,0.7324870086373296,0.2,256,256,1e-08,4,20,RoundRobin,0.6
mod1,0.5174857019501024,0.5123434806010753,1.044338465358471,1.0448873716468166,0.6,16,256,1e-06,2048,23,QuantilesGlobal,0.61
mod2,0.780259676942158,0.7023792293095831,0.6580611280352615,0.7459253682633442,0.8,256,64,1e-08,16,17,UniformAdaptive,0.84
mod3,0.6929415334084803,0.673635849032986,0.7871061461701716,0.8039445152933666,0.2,256,256,1e-08,64,15,QuantilesGlobal,0.47
mod4,0.6914959335248854,0.6665194870099735,0.7850587078616298,0.8103116398979793,0.4,32,16,0.0001,64,20,UniformAdaptive,0.34
mod5,0.44794487757875306,0.44190186590857705,1.1695962037010037,1.1841269074513545,0.6,32,64,1e-06,4096,23,UniformAdaptive,0.83
mod6,0.5103979892047166,0.5046105680989486,1.1463052025438907,1.148481323456665,0.6,256,64,0.0,2048,20,QuantilesGlobal,0.8
mod7,0.6285447688055502,0.6202589150399096,0.9195534846627664,0.9275818723385882,0.8,2048,32,0.0001,1024,15,UniformAdaptive,0.99
mod8,0.5054773783984936,0.5052779298665138,1.1171926298478434,1.1154491345686053,0.2,16,32,0.0,1024,17,RoundRobin,0.65
mod9,0.6083756419126966,0.5978558965279417,1.0161250369076047,1.0191699276497577,0.8,2048,64,0.0,1024,20,UniformAdaptive,0.81
mod10,0.8713860341027118,0.7228955696667116,0.5104410352912854,0.7083438146162537,0.8,64,1024,0.0001,8,17,QuantilesGlobal,0.48
mod11,0.7771738850490714,0.7046034440101481,0.6585544092163145,0.7389374068874419,0.6,256,32,1e-08,16,23,RoundRobin,0.86
mod12,0.8361781231620323,0.7112197444507443,0.5720196151285458,0.728685032657697,0.4,256,16,0.0001,4,17,RoundRobin,0.48
mod13,0.8129378168264907,0.7093847584369841,0.6077053642805338,0.7358626515033178,0.2,128,64,0.0,2,17,UniformAdaptive,0.67
mod14,0.8866896178549576,0.7227285940062151,0.47716983682788217,0.7150370326069962,0.4,32,1024,0.0001,2,15,RoundRobin,0.51
mod15,0.6148805037549051,0.6014702666649977,0.9474593213955519,0.9655582385920649,0.8,64,128,0.0001,1024,20,UniformAdaptive,0.31
mod16,0.9387857345465125,0.7243965116381494,0.3353821493763787,0.7126817290529125,0.4,1024,1024,1e-08,1,17,RoundRobin,0.48
mod17,0.7219502962996496,0.6838097896106677,0.7362857601806367,0.7744915316805916,0.4,2048,64,0.0,32,23,UniformAdaptive,0.58
mod18,0.8117563104658242,0.7104968426069344,0.6125149618096984,0.7300599648633176,0.4,64,1024,0.0,8,23,UniformAdaptive,0.41
mod19,0.7236460496255663,0.6956522350553693,0.7346825112158774,0.7594466554125081,0.8,1024,1024,1e-08,128,15,QuantilesGlobal,0.78
mod20,0.540794682745115,0.5351979592653565,1.1250867472491473,1.1259824234797529,0.8,4096,16,1e-06,2048,23,QuantilesGlobal,0.2
mod21,0.7063963465744005,0.6599585721100731,0.7702305486645097,0.8071184784623917,0.2,256,1024,1e-06,16,15,UniformAdaptive,0.28
mod22,0.6634881089953166,0.6507849865005471,0.846866278316144,0.8581566402556179,0.4,128,1024,0.0001,256,20,UniformAdaptive,0.82
