,train_acc,test_acc,train_rmse,test_rmse,l1_ratio,fit_intercept,C
mod0,0.6486711577104596,0.6459469111666307,0.8030267986144957,0.8047741570978857,0.0,False,0.001
mod1,0.6478788636169944,0.6455021887642458,0.8044272897156957,0.8047747030683958,0.1,False,0.001
mod2,0.6476842589324665,0.6452242102190341,0.8048653842460209,0.8062932518641099,0.2,False,0.001
mod3,0.6476842560343208,0.6457801673094573,0.8056116462883416,0.8049749515295634,0.3,False,0.001
mod4,0.6475452551723544,0.645279734841724,0.806367403534416,0.8068583400505803,0.4,False,0.001
mod5,0.6480456576958046,0.645668932621419,0.8066286487941919,0.8077693311591154,0.5,False,0.001
mod6,0.6484487540127966,0.6457245499654382,0.8073059817234276,0.8100949089428076,0.6,False,0.001
mod7,0.6484904592948391,0.6450017562965122,0.8088716275636403,0.8123521752548257,0.7,False,0.001
mod8,0.6478927747161445,0.6455576824798257,0.809952095299192,0.8117408660841609,0.8,False,0.001
mod9,0.6477816066790123,0.6452240711370401,0.8109240703908276,0.8119585489054175,0.9,False,0.001
mod10,0.6477816269660319,0.6453909231690975,0.8113365202678005,0.8123713538712616,1.0,False,0.001
mod11,0.5868732105520401,0.5866783248284694,0.8679584155060398,0.8672438054577724,0.0,True,0.001
mod12,0.582689391451819,0.582897612626667,0.8731652100956493,0.8704126553256029,0.1,True,0.001
mod13,0.5805627205766584,0.5811184912138041,0.8758505060226509,0.8723139422877738,0.2,True,0.001
mod14,0.5795897328978155,0.5796730120508367,0.8768514858543931,0.8740752070910854,0.3,True,0.001
mod15,0.5782414508132613,0.5781162209320564,0.8786781399810492,0.8773672318650838,0.4,True,0.001
mod16,0.576768086694279,0.5768930720631716,0.8803783117599497,0.8793902400282498,0.5,True,0.001
mod17,0.5754337157088749,0.5757255096311964,0.8827119200145435,0.8815908398757577,0.6,True,0.001
mod18,0.5737101363204637,0.5746135181825754,0.8844311342039678,0.8816695147525169,0.7,True,0.001
mod19,0.5725147758575115,0.5731680853802726,0.8861740894528269,0.8829629757142333,0.8,True,0.001
mod20,0.5708467896651277,0.571500198655448,0.8879310835124746,0.8848068775837994,0.9,True,0.001
mod21,0.5691927512817387,0.570054518596267,0.8898516122517817,0.8870008882209184,1.0,True,0.001
mod22,0.65022791017441,0.6475037022854109,0.80102465855643,0.8031742526794821,0.0,False,0.01
