,acc_train,acc_test,rmse_train,rmse_test,auc_train,auc_test,recall_train,recall_test,precision_train,precision_test
k = 1,0.8424330034471256,0.8230248306997743,0.3969470954080335,0.4206841681121667,0.8223538403585069,0.7981903501736932,0.909000631940056,0.8923021968208609,0.846490121899958,0.8381144103338366
k = 2,0.8501056377182253,0.8296839729119638,0.3871619328934273,0.4126936237550032,0.8554869920477838,0.8351517900943782,0.8322650537149048,0.8144311484193606,0.9166749527692155,0.9065606361829026
k = 3,0.8646169242744357,0.8477426636568849,0.3679443921648546,0.3902016611229572,0.8527813757754327,0.8327293901159354,0.9038548343414282,0.889623146990534,0.8796345106308205,0.8720238095238095
k = 4,0.8323140220171245,0.8191873589164785,0.4094947838286534,0.42522069691340453,0.8372847978073406,0.822685075570127,0.815834612259637,0.8094302554027505,0.9025267152701488,0.8944148411288732
k = 5,0.8528299788724564,0.8392776523702031,0.3836274509567109,0.400901917717784,0.8393724552874938,0.8216780288721773,0.8974451566308568,0.8883729237363815,0.8680579811386657,0.8615970899012645
k = 6,0.8601690203491604,0.8479683972911964,0.37393980752367023,0.38991230130479804,0.8579658374483655,0.8437923351078103,0.8674731425476212,0.8596177888908734,0.9017454954954955,0.8956084852995906
k = 7,0.8526631824752585,0.8434537246049661,0.38384478311518244,0.395659292062039,0.8407075026453661,0.8275432118989574,0.8922993590322289,0.8878371137703162,0.8715280839432149,0.8675392670157068
k = 8,0.8570554876014678,0.8503386004514673,0.37808003438231463,0.3868609563506412,0.8558737699901529,0.8486128447938227,0.8609731876861966,0.8551527058403287,0.9024413323239969,0.9028851593437677
k = 9,0.8560547092182809,0.8529345372460496,0.3794012266476205,0.38349115081570045,0.849642346859396,0.8439441013774582,0.8773133519906112,0.8780139310591177,0.8876507124588966,0.8880057803468208
k = 10,0.8509396197042144,0.8446952595936794,0.386083385158939,0.3940872243632373,0.8499554487683181,0.8425471232624173,0.8542024013722127,0.8506876227897839,0.8987462006079028,0.8981708466905525
k = 11,0.8528855776715223,0.8488713318284424,0.383554979538107,0.38875270824980446,0.8416232884891484,0.833110202412169,0.8902229845626072,0.8928380067869263,0.8733504561154902,0.8712094806552806
k = 12,0.848548871344379,0.8413092550790068,0.38916722453929886,0.3983600694359228,0.842268791677641,0.8325051364201312,0.8693689627155367,0.8658689051616361,0.8829192261850188,0.8809740141740868
k = 13,0.8505504281107528,0.8465011286681715,0.3865870818964948,0.39178932008393036,0.8393734679491223,0.8312988930701747,0.8876049471878668,0.8889087337024468,0.8720177383592018,0.8708661417322835
k = 15,0.8505504281107528,0.8433408577878104,0.3865870818964948,0.3958018976864432,0.8376851584821328,0.8255971696001483,0.8932021305407601,0.8928380067869263,0.8679708746381262,0.8638327285294626
k = 17,0.8488268653397086,0.8434537246049661,0.38880989527054394,0.395659292062039,0.8353327847189961,0.8254943946434558,0.8935632391441726,0.8935524200750133,0.8653610771113831,0.8634794615119089
k = 19,0.8464361169798732,0.8399548532731377,0.39187227896360155,0.4000564294282274,0.8325204404443046,0.821829685602836,0.8925701904847883,0.890516163600643,0.8628152543851995,0.8609911932308755
k = 21,0.8474924941621261,0.8400677200902934,0.39052209391771153,0.39991534092818515,0.8356654603972015,0.8260166217748504,0.8867021756793355,0.8792641543132702,0.8684350132625994,0.8691737288135594
k = 23,0.8456021349938841,0.8391647855530474,0.392934937370191,0.4010426591360981,0.8332049017056398,0.8244058509374813,0.8867021756793355,0.880335774245401,0.8658321579689704,0.8671710063335679
k = 25,0.8443233626153676,0.8396162528216704,0.39455878824914353,0.4004793966964213,0.8327113304279222,0.8264917471408544,0.8828202581926514,0.8762278978388998,0.8668557751972343,0.870784522541711
k = 27,0.8418770154564661,0.839841986455982,0.39764680879334846,0.400197468187916,0.8289552312486002,0.8255178907566565,0.884716078360567,0.8797999642793356,0.8621448051376792,0.8684767277856136
k = 29,0.8381518959190482,0.8353273137697517,0.40230349747541577,0.4057988248261056,0.8245694068022873,0.8205372624530632,0.883181366796064,0.8765851044829434,0.8581578947368421,0.864693446088795
k = 31,0.8377071055265206,0.8364559819413092,0.40285592272359527,0.40440575918091315,0.824453375379567,0.8218144322985788,0.8816466552315609,0.8772995177710305,0.8586249340601372,0.8657032076136765
k = 33,0.838318692316246,0.837020316027088,0.4020961423388118,0.4037074237277684,0.8212737419988788,0.8175230507002855,0.8948271192561162,0.8914091802107519,0.8504504504504504,0.8565299467993822
k = 35,0.8377627043255865,0.8360045146726862,0.4027869110018515,0.4049635604931804,0.8209040486381773,0.8164632335942498,0.8936535162950258,0.890516163600643,0.850502620500043,0.8558187435633368
k = 37,0.8366507283442678,0.8349887133182844,0.4041649065118497,0.40621581293902825,0.8198106615446632,0.815403416488214,0.8924799133339352,0.889623146990534,0.8498237771855928,0.855107296137339
k = 39,0.8360947403536083,0.8336343115124154,0.4048521454140902,0.4078795024116616,0.8187057366418857,0.8134354390068013,0.8937437934458788,0.8899803536345776,0.8482563619227145,0.8531073446327684
k = 41,0.833648393194707,0.8305869074492099,0.40786223998464605,0.41159821738048147,0.816392869748861,0.8100639110709907,0.8908549246185791,0.8878371137703162,0.8469659256716162,0.8506160164271047
k = 43,0.8325920160124541,0.8296839729119638,0.4091552076994082,0.4126936237550032,0.8149906208586631,0.8089653445474969,0.8909452017694321,0.8874799071262726,0.8455277587388622,0.8496922024623803
k = 45,0.8300900700544869,0.827765237020316,0.4122013221054891,0.41501176245943194,0.8122241534223918,0.8065508587610297,0.889320213054076,0.8869440971602072,0.8433353308792055,0.8475849121010411
k = 47,0.8270321361058601,0.8250564334085779,0.41589405368932586,0.4182625570038778,0.8096053777846579,0.8046637210537059,0.8848063555114201,0.8819432041435971,0.8422997593674802,0.8474343573022138
k = 49,0.825308573334816,0.8243792325056434,0.41796103486471564,0.41907131552321336,0.8079065431700332,0.8034236301560619,0.8830008124943577,0.882836220753706,0.8412316160660531,0.845969536197159
k = 51,0.8219726453908596,0.8221218961625282,0.4219328792700806,0.42175597664700826,0.8027202260396648,0.7991406009057012,0.8857994041708044,0.88622968387212,0.8351349050983062,0.8408744280630401
