,acc_train,acc_test,rmse_train,rmse_test
k = 1,0.61709107083287,0.5677200902934537,0.881377569801567,0.9445100967163332
k = 2,0.6063605026131436,0.5571106094808126,0.8963893373422999,0.9565032252243375
k = 3,0.6464472367396864,0.5965011286681715,0.8632120858061072,0.9197482234733552
k = 4,0.6205381963749583,0.577313769751693,0.8792301758998221,0.9304844729504119
k = 5,0.631046369398421,0.589841986455982,0.8634374885741247,0.9223828205902852
k = 6,0.6243189147114422,0.5769751693002257,0.8713855626779371,0.9356254773465957
k = 7,0.6183698432113867,0.573589164785553,0.8875380471654387,0.9545542493218601
k = 8,0.6309351718002891,0.5935665914221219,0.8604703406632476,0.9145796750099519
k = 9,0.6265984654731458,0.587020316027088,0.8751419639883153,0.9329677882462994
k = 10,0.6222061603469365,0.5931151241534989,0.8946198704221859,0.9410382815826693
k = 11,0.6164794840431447,0.5818284424379232,0.899330712258973,0.9489806816188509
k = 12,0.61709107083287,0.5858916478555305,0.9097492637510544,0.9596839208775828
k = 13,0.6111419993328144,0.5756207674943566,0.9205633576039511,0.9610354648947941
k = 15,0.6121983765150673,0.582392776523702,0.9073013936781483,0.9490401471502323
k = 17,0.6085288557767152,0.5804740406320542,0.914108500760175,0.9515936496428673
k = 19,0.6046369398420994,0.5808126410835215,0.921287830452917,0.95496800083485
k = 21,0.6029689758701212,0.581941309255079,0.9289504617052825,0.9579181715972915
k = 23,0.6008562215056155,0.5786681715575621,0.9420257065980053,0.9723026588961967
k = 25,0.5958523295896808,0.5779909706546276,0.9515974150800156,0.9783203000453443
k = 27,0.5907928388746803,0.5721218961625282,0.9635293180817431,0.9903598543375642
k = 29,0.5894584676970978,0.5734762979683973,0.9684503815081829,0.988877193506591
k = 31,0.5866229289447348,0.5705417607223476,0.9736892325954991,0.9964383525934695
k = 33,0.5858445457578116,0.5693002257336343,0.979070423767297,0.998362089776291
k = 35,0.584565773379295,0.5686230248306998,0.9794962361754453,0.9968913306155458
k = 37,0.5802290670521517,0.5643340857787811,0.9944804863771555,1.0046168817050467
k = 39,0.5768375403091294,0.5580135440180587,0.9917372411463037,1.007813716707929
k = 41,0.575280773935283,0.5606094808126411,0.9985812241613784,1.012004693107365
k = 43,0.5709996664072056,0.5624153498871332,1.0006113998848158,1.0083175536204116
k = 45,0.5694429000333593,0.555079006772009,1.0119380817008945,1.0219376982684474
k = 47,0.5663849660847325,0.5549661399548532,1.0148458769180055,1.0228208680979793
k = 49,0.5640498165239631,0.5549661399548532,1.0086912426043488,1.0157340083017636
k = 51,0.5624930501501167,0.5506772009029345,1.0128442336142622,1.0232070151913515
