,acc_train,acc_test,rmse_train,rmse_test,auc_train,auc_test,recall_train,recall_test,precision_train,precision_test
k = 1,0.5402535305237407,0.5408577878103837,0.6780460673702483,0.6776003336699417,0.5081045335449914,0.502907466007724,0.6468357858625982,0.6467226290409002,0.6218538448186078,0.6340395727543338
k = 2,0.48376515067274545,0.4770880361173815,0.7184948498961246,0.7231265199690982,0.5067933262018435,0.5035444078456424,0.40742078180012636,0.4032863011252009,0.6238595521150124,0.636056338028169
k = 3,0.5562103858556655,0.5503386004514673,0.666175362907046,0.6705679678813571,0.5116646794325536,0.5004848469513026,0.7038909452017694,0.6894088230041079,0.6238099047923834,0.6322686322686323
k = 4,0.5170132325141777,0.495372460496614,0.6949724940498165,0.7103714095481223,0.5179378699555095,0.4970109000605148,0.5139478198068069,0.4908019289158778,0.632836816362828,0.6291208791208791
k = 5,0.5661069720894029,0.555530474040632,0.6587055699708309,0.6666854775374726,0.5182833443700384,0.5009432676214414,0.7246546898979869,0.7078049651723523,0.6280416242860496,0.632561851556265
k = 6,0.5406427221172023,0.517155756207675,0.6777590116573867,0.6948699473947085,0.5234791347866086,0.4977915570523693,0.5975444614967952,0.5711734238256831,0.6350378969586491,0.6301477832512316
k = 7,0.5710552652062716,0.5612866817155756,0.65493872598414,0.662354375153078,0.5163099020549753,0.4980706897818033,0.7525503295116006,0.7376317199499911,0.6262960180315552,0.6307269395235187
k = 8,0.5487601467808295,0.531941309255079,0.6717438896031511,0.6841481497051066,0.5198305868055312,0.4977093754256617,0.6446691342421234,0.6274334702625469,0.6307746665488915,0.6302475780409041
k = 9,0.579061492271767,0.5733634311512416,0.6487977402305228,0.6531742254932894,0.517554312930449,0.5037844351559033,0.7829737293491017,0.76745847472763,0.6266618497109827,0.6342435424354244
k = 10,0.5628822417435784,0.5519187358916479,0.6611488170271665,0.6693887242166185,0.5235894691710063,0.5089699561389456,0.6931479642502483,0.6717270941239507,0.632402602751009,0.6382148311556084
k = 11,0.5865673301456689,0.5783295711060948,0.6429873014720673,0.6493615548320559,0.5204347864661837,0.5044484057394267,0.8058138485149409,0.7844257903197,0.6281049890929562,0.6345903771131339
k = 12,0.5699432892249527,0.5565462753950339,0.6557870925651459,0.6659232122436987,0.5232496003285885,0.5055885149246051,0.72474496704884,0.6986961957492409,0.6314299197734781,0.6356841078973026
k = 13,0.5903480484821528,0.5812641083521445,0.6400405858364352,0.6470980541215183,0.5200186674697922,0.5035689719639886,0.8235081700821522,0.797999642793356,0.6275885792913657,0.6340286646800056
k = 15,0.5941843656177026,0.5863431151241535,0.6370366036440115,0.6431616319991783,0.5206552265694502,0.5036819888161788,0.8379525142186512,0.8169315949276656,0.6277559853915866,0.6340449126698087
k = 17,0.5986322695429779,0.5911963882618511,0.6335358951606627,0.6393775189496023,0.5215160020202534,0.504512759895629,0.8542926785230658,0.8330058939096268,0.6280196442792674,0.6344715004761257
k = 19,0.604025353052374,0.5918735891647856,0.629265164257188,0.638847721163044,0.5236887492104016,0.502615599370786,0.870362011374921,0.8408644400785854,0.629020682455797,0.633391631911745
k = 21,0.603080173468253,0.5978555304740406,0.6300157351461524,0.6341486178538588,0.5204978524190846,0.5056198978450339,0.8768619662363456,0.8551527058403287,0.6271306818181818,0.6350132625994694
k = 23,0.6064161014122095,0.5967268623024831,0.6273626531662453,0.6350379025676475,0.5215450882755435,0.5013975531947348,0.887785501489573,0.8626540453652438,0.627568602425016,0.632695834424941
k = 25,0.605081730234627,0.5978555304740406,0.6284252300515735,0.6341486178538588,0.5175752978927113,0.5001137014708731,0.8951882278595288,0.8705125915342026,0.6252995333585571,0.6320020746887967
